taskid,fluxcal,fluxcal_firsttaskid,fluxcal_lasttaskid,polcal,polcal_firsttaskid,polcal_lasttaskid,apercal_version
190728041,3C147,190727001,190727040,3C286,190728001,190728040,None
190731125,3C147,190801001,190801040,3C286,190731085,190731124,None
190801041,3C147,190801001,190801040,3C286,190802001,190802040,None
190801042,3C147,190801001,190801040,3C286,190802001,190802040,None
190806345,3C147,190807001,190807040,3C286,190808001,190808040,None
191024043,3C147,191024003,191024042,3C286,191025001,191025040,None
200309042,3C147,200309002,200309041,None,None,None,None
200429042,3C147,200429002,200429041,3C138,200428001,200428040,None
200505057,3C147,200505017,200505056,3C286,200504051,200505015,None
