Obsid,Beam,c2_good,c1_good,c0_good,c2_ok,c1_ok,c0_ok,all_good,all_ok,all_good_ok,rms_c2,rms_c1,rms_c0,lgfrac_c2,lgfrac_c1,lgfrac_c0,prom_c2,prom_c1,prom_c0
190807041,37,0,0,0,0,0,0,0,0,0,0.0014586842,0.0015039851,0.0015553919,-3.9480567,-3.931968,-3.9314957,4.3253717,4.3234777,4.345671
190807041,38,1,0,1,0,1,0,0,0,1,0.0016244781,0.001784065,0.0018395787,-5.6231284,-4.883227,-5.7638917,4.3255334,4.5498524,4.315244
190807041,39,1,0,0,0,0,0,0,0,0,0.002434247,0.003065735,0.003548715,-5.9611797,-5.3915877,-5.941909,4.2533507,4.413998,4.260103
190807042,0,0,0,0,0,0,0,0,0,0,0.0016744174,0.0017400515,0.0018152962,-3.453667,-3.4170592,-3.4019299,4.398457,4.400161,4.424184
190807042,1,0,0,1,0,1,0,0,0,0,0.0022625548,0.0022870775,0.0023401857,-4.2839966,-5.138192,-5.3340964,4.5211763,4.3023095,4.2771077
190807042,2,1,1,0,0,0,1,0,0,1,0.001739165,0.0017963741,0.0018751808,-5.8129535,-5.461353,-5.0664616,4.286096,4.291121,4.2808423
190807042,3,1,1,1,0,0,0,1,0,1,0.0015350728,0.0015803918,0.0016383869,-5.922472,-5.957515,-5.908485,4.231762,4.2694893,4.252025
190807042,4,0,0,0,0,0,0,0,0,0,0.0015523696,0.0016129755,0.0016688856,-4.0159864,-3.9841928,-3.9679193,4.275875,4.233741,4.260458
190807042,5,0,0,0,0,0,0,0,0,0,0.0016137491,0.0017240753,0.001854868,-3.5210981,-3.505097,-3.493367,4.4680867,4.4539046,4.4100275
190807042,6,1,1,1,0,0,0,1,0,1,0.0018994948,0.0019875725,0.0020483038,-5.7850885,-5.8657446,-5.9304795,4.2790194,4.2563224,4.2926326
190807042,7,0,0,0,0,0,0,0,0,0,0.0059863464,0.0041324697,0.003525501,-5.508017,-5.0352387,-5.7795434,4.4267945,4.4405856,4.3125215
190807042,8,1,1,1,0,0,0,1,0,1,0.0020810617,0.0020744244,0.0021732596,-5.609816,-5.9502764,-5.677091,4.3099055,4.2603626,4.3178887
190807042,9,0,0,0,0,0,0,0,0,0,0.0016452847,0.0016919223,0.0017428353,-4.493233,-4.4556847,-4.453358,4.278659,4.3186097,4.2591987
190807042,10,0,0,0,1,1,1,0,1,1,0.0015184297,0.0015657473,0.0016221717,-4.8938127,-4.817953,-4.856499,4.296143,4.271909,4.325442
190807042,11,1,1,1,0,0,0,1,0,1,0.001512396,0.0015688766,0.0016359811,-5.84837,-5.995635,-5.919343,4.293414,4.2773767,4.252859
190807042,12,1,1,1,0,0,0,1,0,1,0.0025477249,0.0026550833,0.0027665175,-5.9877386,-5.9799833,-6.0926943,4.212203,4.276156,4.227953
190807042,13,0,0,0,0,0,0,0,0,0,0.0026652727,0.0028819747,0.0030500817,-3.8893912,-3.812274,-3.7812603,4.4034004,4.3366175,4.319406
190807042,14,0,0,0,0,0,0,0,0,0,0.0031113918,0.003247615,0.003358885,-4.0040083,-4.0761733,-4.095489,4.8385305,4.861042,4.910873
190807042,15,0,0,0,1,1,1,0,1,1,0.0019734162,0.0019124626,0.0018370638,-4.6564846,-4.5893292,-4.5626636,4.3080297,4.314782,4.3017898
190807042,16,0,0,0,0,0,0,0,0,0,0.0014985589,0.0015600001,0.0016242837,-3.51326,-3.498021,-3.495869,4.281315,4.290929,4.3157663
190807042,17,1,1,1,0,0,0,1,0,1,0.0014560518,0.0015092915,0.0015714266,-6.0599337,-6.2337213,-6.0176296,4.219618,4.225327,4.2358522
190807042,18,1,1,1,0,0,0,1,0,1,0.0016431028,0.0017278094,0.0018313963,-5.902728,-5.9059567,-5.86758,4.245625,4.2645736,4.280471
190807042,19,0,0,0,0,0,0,0,0,0,0.002048372,0.002144812,0.0022017602,-3.289042,-3.2806091,-3.268559,4.5020194,4.501676,4.462301
190807042,20,0,0,0,0,0,0,0,0,0,0.0018831216,0.0019785312,0.0020933598,-4.1237197,-4.0297737,-4.027742,4.344113,4.336327,4.3290834
190807042,21,1,1,1,0,0,0,1,0,1,0.0021855452,0.0020445006,0.001967091,-6.0645785,-6.169739,-6.4019966,4.222439,4.187569,4.1615686
190807042,23,0,0,0,0,0,0,0,0,0,0.0014108424,0.0014546481,0.0015162185,-4.114979,-4.0708346,-4.041214,4.269491,4.250595,4.261594
190807042,24,0,0,0,0,0,0,0,0,0,0.0018426845,0.0020103531,0.0019123366,-3.6360424,-3.6241415,-3.6166394,4.616987,4.584419,4.3023505
190807042,25,0,0,0,0,0,0,0,0,0,0.0026661237,0.0027576569,0.00278364,-2.8708494,-2.8793316,-2.9122121,6.3347263,6.303976,6.1832123
190807042,26,0,0,0,0,0,0,0,0,0,0.0017528143,0.0018334469,0.0019059746,-3.8659809,-3.840132,-3.8664105,4.281178,4.368434,4.290234
190807042,29,1,1,1,0,0,0,1,0,1,0.001441088,0.0014992048,0.0015747815,-6.103643,-5.991669,-5.978121,4.2031255,4.2649856,4.2434793
190807042,30,0,0,0,0,0,0,0,0,0,0.0023865525,0.0024401955,0.0025500508,-3.0607893,-3.0474463,-3.0472057,5.424241,5.3699803,5.518727
190807042,31,1,1,1,0,0,0,1,0,1,0.0015834675,0.0016373827,0.0017051124,-6.119248,-6.041836,-5.978121,4.2248373,4.209827,4.2697234
190807042,32,1,1,1,0,0,0,1,0,1,0.002497495,0.002603092,0.0027280825,-5.886934,-5.76122,-5.821335,4.289417,4.2848024,4.2937
190807042,33,1,1,1,0,0,0,1,0,1,0.001989642,0.001982212,0.00202793,-5.9877386,-6.1139836,-5.9248753,4.2208624,4.243087,4.261192
190807042,34,1,1,1,0,0,0,1,0,1,0.0017013868,0.001898195,0.0017968284,-5.543103,-5.46486,-5.522504,4.2785864,4.3253922,4.259842
190807042,35,0,0,0,0,0,0,0,0,0,0.0022030564,0.0022860863,0.002395254,-3.192703,-3.1817234,-3.1674602,4.8738594,4.8673506,4.961527
190807042,36,0,0,0,0,0,0,0,0,0,0.0018488504,0.0019198947,0.001994829,-3.3445625,-3.3462224,-3.362699,4.4602027,4.4506464,4.5301147
190807042,37,0,0,0,0,0,0,0,0,0,0.0019698716,0.0020436672,0.0021269484,-3.4804003,-3.47973,-3.4877136,4.487058,4.4784803,4.5631623
190807042,38,1,0,0,0,1,1,0,0,1,0.0018568854,0.002123932,0.0023107347,-5.56177,-4.636165,-5.069558,4.3437486,4.71801,4.4668546
190807042,39,0,0,0,0,0,0,0,0,0,0.0030676012,0.0031087138,0.0032962207,-5.802613,-5.851218,-5.821335,4.268223,4.2368364,4.3029976
190808041,0,1,1,1,0,0,0,1,0,1,0.0015524405,0.0015942414,0.001636607,-5.9686036,-5.826236,-5.908485,4.2528543,4.263348,4.2299376
190808041,1,0,0,1,1,1,0,0,0,1,0.0022566456,0.0022909702,0.0023133412,-4.6619864,-5.106205,-5.941909,4.404611,4.393811,4.235217
190808041,2,0,1,1,0,0,0,0,0,0,0.0019625754,0.0018387416,0.0018964708,-4.5191784,-5.60818,-5.9361563,4.9599776,4.318386,4.2416596
190808041,3,1,1,1,0,0,0,1,0,1,0.001618788,0.0016804801,0.0018542977,-6.0118723,-5.6368623,-5.7063804,4.227359,4.2969112,4.284276
190808041,4,1,1,1,0,0,0,1,0,1,0.0016378453,0.0016950003,0.0017379659,-5.845541,-5.593729,-5.843842,4.2967277,4.3354053,4.307838
190808041,5,1,1,1,0,0,0,1,0,1,0.001678435,0.0017029641,0.0018079005,-5.5843554,-5.839937,-6.061095,4.314936,4.261033,4.239947
