# Census of all observations
# manual assessment of number of good dishes
# and number of good beams (i.e., missed cals, clear bw issue)
# i am conservative with dishes - if there are sawtooth
# residual delays, i mark that as bad,
# presuming it might fail with reprocessing / ccal QA
# 
# Extra notes
# 20111034-201115001 heavily imapcted by RFI (beamweights? radar?)
# calibration / bandpass not super trustworthy
# Also 201116016 (not cals, but data itself). And same for latter in Nob
# Will do a separate RFI view (did some work on that before)
# 
taskID,name,goodtelescopes,n_goodbeams,processed
210925041,S1552+5324,23456789ABD,40,False
210925042,S0356+4114,23456789ABD,40,False
210926041,S2257+3622,2345678AB,40,False
210927041,S1346+5815,2345678AB,40,False
210927042,S0142+2904,2345678AB,40,False
210929128,S2201+3130,23456789ABCD,37,False
210930082,S1245+5815,23456789ABCD,37,False
210930083,S0035+3356,23456789ABCD,37,False
211001041,S1551+5550,2345789ABCD,37,False
211001042,S0356+3848,2345789ABCD,37,False
211004041,S2301+3356,2345789ABCD,37,False
211007129,M2214+3130,2345789ABCD,40,False
211008082,S1342+6041,2345789ABCD,40,False
211008083,S0133+4340,2345789ABCD,40,False
211009083,S2258+2904,2345789ABCD,40,False
211010082,S1404+6041,2345789ABCD,40,False
211010083,S0145+4114,2345789ABCD,40,False
211011083,S2306+3130,2345789ABCD,40,False
211012044,S2258+2904,2345789ABCD,40,False
211013042,S0145+4114,2345789ABCD,40,False
211014041,S2306+3130,2345789ABCD,39,False
211015041,S1409+5058,2345789ABCD,39,False
211015042,S0155+2904,2345789ABCD,39,False
211016041,S2311+2904,2345789BCD,40,False
211017041,S1415+5550,2345789BCD,40,False
211017042,S0148+4340,2345789BCD,40,False
211027167,S2148+3622,2346789ABCD,40,False
211028041,S1236+6041,2346789ABCD,40,False
211028042,S0026+2904,2346789ABCD,40,False
211029041,S1525+4832,2346789ABCD,40,False
211029042,S0301+3356,2346789ABCD,40,False
211030041,S2155+3356,2346789ABCD,40,False
211031041,S1236+6307,2346789ABCD,40,False
211031042,S0021+3356,2346789ABCD,40,False
211101041,S2315+3356,2346789ABCD,40,False
211104009,M1259+2638,23456789ABCD,40,False
211105026,M1247+2638,23456789ABCD,40,False
211106008,M1301+3356,23456789ABCD,40,False
211107024,M1252+2904,23456789ABCD,40,False
211108006,M1304+2904,23456789ABCD,40,False
211109023,M1312+2638,23456789ABCD,40,False
211110005,M1312+2638,23456789ABCD,40,False
211111023,S1142+5550,23456789ABCD,40,False
211111024,S2323+2904,23456789ABCD,40,False
211112041,S1426+5058,23456789ABCD,40,False
211113020,S1119+5324,23456789ABCD,40,False
211114001,S1131+6041,23456789ABCD,40,False
211115018,S1443+3622,23456789ABCD,40,False
211116001,S1444+5058,23456789ABCD,40,False
211117017,S1446+3848,23456789ABCD,40,False
211117018,S0203+4340,23456789ABCD,40,False
211118049,S2336+2904,23456789ABCD,40,False
211119050,S0001+4606,23456789ABCD,40,False
211120051,S0011+3130,23456789ABCD,40,False
211121047,S0039+2904,23456789ABCD,40,False
211122041,S0101+3356,23456789ABCD,40,False
211202071,S0107+3848,23456789BCD,40,False
211203041,S0117+2904,23456789BCD,40,False
211204041,S0116+3130,23456789BCD,40,False
211205041,S0116+4114,23456789BCD,40,False
211206041,S0121+3848,23456789BCD,40,False
211208041,S0130+4114,23456789BCD,40,False
211209041,S0142+2904,23456789BCD,40,False
211210081,S0300+3848,23456789BCD,40,False
211212001,M1259+2638,23456789BCD,40,False
211212002,S0303+3622,23456789BCD,40,False
211213041,S0342+3848,23456789BCD,40,False
211214002,S1611+5324,23456789BCD,40,False
211214003,S1103+5550,23456789BCD,40,False
211217072,S1122+5815,23456789BCD,40,False
211224127,S1041+5815,23456789ABCD,40,False
211225001,M2214+3130,23456789ABCD,40,False
211226009,S1346+5815,23456789ABCD,40,False
211226050,S1044+5550,23456789ABCD,40,False
211227001,S2252+4832,23456789ABCD,40,False
211228013,S1421+5324,23456789ABCD,40,False
211228054,S1047+6041,23456789ABCD,40,False
211229001,S2332+4340,23456789ABCD,40,False
220104125,M1248+3356,23456789ABCD,40,False
220105041,M1301+3356,23456789ABCD,40,False
220107001,S2117+2904,23456789ABCD,40,False
220108001,S0104+2904,23456789ABCD,40,False
220109041,S0130+2904,23456789ABCD,40,False
220110034,S0149+3848,23456789ABCD,40,False
220120128,S1123+5550,23456789ABCD,40,False
220121001,S0103+3130,23456789ABCD,40,False
220122041,S2358+4832,23456789ABCD,40,False
220122042,S1426+6041,23456789ABCD,40,False
220123041,S1041+5815,23456789ABCD,40,False
220124001,S0233+2904,23456789ABCD,40,False
220125042,M2214+3130,23456789ABCD,40,False
220125043,S1102+5815,23456789ABCD,40,False
220126041,S1428+5815,23456789ABCD,40,False
220127041,S1439+5324,23456789ABCD,40,False
220128042,S1042+5324,23456789ABCD,40,False
220129001,S2319+3130,23456789ABCD,40,False
220130001,S1536+5058,23456789ABCD,40,False
220130042,S1101+5324,23456789ABCD,40,False
220131001,S2341+4832,23456789ABCD,40,False
220208051,S1109+6041,23456789ABCD,40,False
220209001,S2342+5058,23456789ABCD,40,False
220210001,S1553+5058,23456789ABCD,40,False
220210042,S1041+5058,23456789ABCD,40,False
220212041,S2048+3356,23456789ABCD,40,False
220214001,S1119+5324,23456789ABCD,40,False
220215043,S1042+5324,23456789ABCD,40,False
220216001,S0002+4340,23456789ABCD,40,False
220217083,S1435+5550,23456789ABCD,40,False
220218001,S0218+3848,23456789ABCD,40,False
220219039,S2332+3130,23456789ABCD,40,False
220219080,S1454+5550,23456789ABCD,40,False
220220001,S0233+2904,23456789ABCD,40,False
220221037,S2345+3130,23456789ABCD,40,False
