# Census of all observations
# manual assessment of number of good dishes
# and number of good beams (i.e., missed cals, clear bw issue)
# i am conservative with dishes - if there are sawtooth
# residual delays, i mark that as bad,
# presuming it might fail with reprocessing / ccal QA
# 
# Extra notes
# 20111034-201115001 heavily imapcted by RFI (beamweights? radar?)
# calibration / bandpass not super trustworthy
# Also 201116016 (not cals, but data itself). And same for latter in Nob
# Will do a separate RFI view (did some work on that before)
# 
taskID,name,goodtelescopes,n_goodbeams,processed
191229014,M0155+3356,234678ABCD,40,True
191230041,S2300+3848,234678ABCD,40,True
191231012,S1345+5324,2346789ABCD,40,True
191231013,M0155+3356,2346789ABCD,40,True
200101041,S2301+4340,2346789ABCD,40,True
200102011,S1356+5550,2346789ABCD,40,True
200102012,M0155+3356,2346789ABCD,40,True
200103041,S2305+4114,2346789ABCD,40,True
200104010,S1407+5815,2346789ABCD,40,True
200104011,M0155+3356,2346789ABCD,40,True
200105041,S2310+3622,2346789ABCD,40,True
200106009,M1403+5324,2346789ABCD,40,True
200106010,M0155+3356,2346789ABCD,40,True
200108171,S1026+6041,2346789ABCD,38,True
200109001,S2315+3356,2346789ABCD,38,True
200110007,S1415+5550,2346789ABCD,38,True
200110008,M0209+3622,2346789ABCD,38,True
200111041,S2314+3848,2346789ABCD,38,True
200112006,S1404+6041,2346789ABCD,38,True
200112007,M0209+3622,2346789ABCD,38,True
200113040,S2314+4606,2346789ABCD,38,True
200122050,S1334+5058,2346789ABD,40,True
200123001,S0214+4114,2346789ABD,40,True
200124041,S2317+4340,2346789ABD,39,True
200124082,S1426+6041,2346789ABD,39,True
200125001,S0218+4340,2346789ABD,39,True
200126041,S2319+4114,2346789ABD,40,True
200126082,S1428+5815,2346789ABD,40,True
200128124,M1403+5324,2346789ABCD,40,True
200129001,M0209+3622,2346789ABCD,40,True
200130106,S1448+5815,2346789ABCD,40,True
200131001,M0209+3622,2346789ABCD,40,True
200201046,S2328+3356,2346789ABCD,40,True
200201087,S1458+5324,2346789ABCD,40,True
200202001,S0222+3622,2346789ABCD,40,True
200225049,S1501+5058,23456789ABCD,39,True
200226001,S0243+4114,23456789ABCD,39,True
200227035,S2148+3622,23456789ABCD,39,True
200227076,M1252+2904,23456789ABCD,39,True
200228001,M0142+3130,23456789ABCD,39,True
200229034,S2149+3848,23456789ABCD,39,True
200229075,M1243+3130,23456789ABCD,39,True
200301001,M0142+3130,23456789ABCD,39,True
200302033,S2155+3356,23456789ABCD,39,True
200302074,M1403+5324,23456789ABCD,39,True
200303001,M0141+3356,23456789ABCD,39,True
200304032,S2202+3622,23456789ABCD,39,True
200305001,M0141+3622,23456789ACD,39,True
200306031,S2201+3130,23456789ACD,39,True
200306072,M1248+3356,23456789ACD,39,True
200307001,M0141+3356,23456789ACD,39,True
200309042,S1042+5324,2346789ACD,39,True
200311126,S1448+3356,23456789ABCD,40,True
200312001,S0249+4340,23456789ABCD,40,True
200313027,S2208+3356,23456789ABCD,40,True
200313068,M1256+3130,23456789ABCD,40,True
200314001,M0141+3622,23456789ABCD,40,True
200315026,S2214+3130,23456789ABCD,40,True
200315067,M1301+3356,23456789ABCD,40,True
200316001,M0208+3356,23456789ABCD,40,True
200317024,S2226+4606,23456789ABCD,40,True
200325126,S1513+5550,23456789ABCD,38,True
200326001,S0232+3848,23456789ABCD,38,True
200327019,S2218+4832,23456789ABCD,40,True
200327060,S1516+5324,23456789ABCD,40,True
200328001,S0257+4114,23456789ABCD,40,True
200329018,S2231+4340,23456789ABCD,40,True
200329059,S1532+5550,23456789ABCD,40,True
200330001,S0312+4114,23456789ABCD,40,True
200331017,S2235+4832,23456789ABCD,39,True
200331058,S1534+5324,23456789ABCD,39,True
200401001,S0304+4340,23456789ABCD,39,True
200402015,S2242+4606,23456789ABCD,39,True
200402056,S1552+5324,23456789ABCD,39,True
200403001,S0327+4114,23456789ABCD,39,True
200404014,S2246+4340,23456789ABCD,40,True
200404055,S1551+5550,23456789ABCD,40,True
200405001,S0319+4340,23456789ABCD,40,True
200406013,S2252+4832,23456789ABC,40,True
200406054,S1611+5324,23456789ABC,40,True
200425057,S1421+3356,3456789ABCD,40,True
200426041,S1123+5550,3456789ABCD,40,True
200427001,S2341+4832,3456789ABCD,40,True
200427042,S1427+3130,3456789ACD,40,True
200428041,S1122+5815,3456789ABCD,40,True
200429001,S2342+5058,3456789ABCD,40,True
200429042,S1440+3130,3456789ABCD,40,False
200430053,S1131+6041,3456789AB,39,True
200501001,S2346+5324,3456789AB,39,True
200501042,S1435+3356,3456789AB,39,True
200502054,S1142+5550,3456789AB,39,True
200503001,S2358+4832,3456789AB,39,True
200503042,S1443+3622,3456789AB,39,True
200505016,S0001+4606,3456789AB,39,True
