timestamp,target_tid,target_name,cal1_tids,cal1_name,cal2_tids,cal2_name,beams,node,starttime,endtime,runtime,failures
1562317128.004400,190701001,M0142+31,-,-,-,-,-,happili-01,-,2019-07-05 08:58:47.992670,13:42:32.018710,
1562319939.004700,190701042,ARGO190425z,190701021-190701012,3C147,-,N/A,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-07-05 09:45:39.323352,,,
1562321214.004800,190701001,M0142+31,-,-,-,-,-,happili-04,-,2019-07-05 10:06:53.061221,14:01:02.093420,"B030: FAILED on line, B031: FAILED on line, B032: FAILED on line, B033: FAILED on line, B034: FAILED on line, B035: FAILED on line, B036: FAILED on line, B037: FAILED on line, B038: FAILED on line, B039: FAILED on scal,continuum,line"
1562325734.005100,190701042,ARGO190425z,190701011-190701002,3C147,-,N/A,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-07-05 11:22:13.884309,,,
1562326228.005300,190701042,ARGO190425z,190701041-190701032,3C147,-,N/A,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-07-05 11:30:28.010946,,,
1562971564.000100,190711169,S2152+4114,190711138-190711129,3C286,190712001-190712010,3C147,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-07-12 22:46:04.096491,,,
1562978760.000200,190711169,S2152+4114,190711148-190711139,3C286,190712011-190712020,3C147,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-07-13 00:45:59.230202,,,
1562988647.000300,190711169,S2152+4114,190711158-190711149,3C286,190712021-190712030,3C147,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-07-13 03:30:46.931939,,,
1563003947.000400,190711169,S2152+4114,190711168-190711159,3C286,190712031-190712040,3C147,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-07-13 07:45:46.794433,,,
1563118068.000500,190711169,S2152+4114,-,-,-,-,-,happili-01,-,2019-07-14 15:27:48.125368,"1 day, 16:41:43.360038",
1563118377.000700,190711169,S2152+4114,-,-,-,-,-,happili-02,-,2019-07-14 15:32:57.220103,"1 day, 14:46:55.531260",
