taskid,beam,pass,s_in,s_out,rat,peak_mJy,peak_sig,rusc-,rusc+,D,N2,P2,Ex-2,Ex+2
190718124,29,True,50.7,44.4,1.14,22.3,502.3,3.5,4.9,144.0,1.7,2.0,217.0,293.0
190718124,30,False,113.7,41.4,2.74,89.0,2147.9,9.8,9.6,219.0,7.9,12.2,2064.0,3349.0
190718124,31,False,52.2,39.1,1.33,37.9,967.7,4.6,5.9,210.0,3.0,3.1,596.0,636.0
190718124,32,False,71.4,60.8,1.17,42.1,692.4,4.0,5.1,173.0,2.1,2.1,336.0,339.0
190718124,33,False,125.1,62.7,1.99,186.7,2978.0,8.4,6.8,355.0,7.0,7.1,1786.0,1826.0
190718124,34,False,106.1,60.1,1.76,16.0,265.4,7.6,6.8,35.0,5.7,6.0,1406.0,1482.0
190718124,35,False,55.8,38.3,1.46,37.5,978.3,8.4,5.4,116.0,4.0,4.0,959.0,980.0
190718124,36,False,116.3,68.4,1.7,159.1,2327.1,5.7,5.3,408.0,5.5,5.3,435.0,418.0
190718124,37,False,54.8,38.6,1.42,17.4,451.0,8.4,5.6,54.0,3.7,3.8,850.0,894.0
190718124,38,True,55.1,50.5,1.09,18.8,373.1,3.6,4.8,104.0,1.5,1.7,140.0,214.0
190718124,39,False,21946.3,13915.2,1.58,5827.8,418.8,7.3,5.7,57.0,4.7,4.7,1183.0,1184.0
190719041,0,False,67.2,49.0,1.37,77.8,1588.7,6.7,6.6,237.0,3.6,3.6,825.0,840.0
190719041,1,False,69.2,58.6,1.18,32.5,555.5,4.3,5.0,129.0,2.0,2.1,323.0,363.0
190719041,2,True,48.3,41.5,1.17,37.5,904.6,4.1,4.8,221.0,1.9,2.1,288.0,343.0
190719041,3,True,50.7,42.6,1.19,61.7,1447.0,4.9,4.7,295.0,2.1,2.3,364.0,404.0
190719041,4,False,75.2,46.0,1.63,119.6,2599.3,7.6,6.0,342.0,5.2,5.2,1338.0,1328.0
190719041,5,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190719041,6,False,62.2,54.0,1.15,69.2,1281.5,4.1,4.9,313.0,1.9,2.0,292.0,323.0
190719041,7,False,72.8,61.1,1.19,51.5,843.8,5.2,5.1,162.0,2.2,2.4,383.0,429.0
190719041,8,False,159.5,122.9,1.3,152.7,1242.2,4.6,5.2,270.0,2.8,2.9,579.0,601.0
190719041,9,True,52.0,45.8,1.13,34.1,744.7,3.9,4.8,191.0,1.8,1.9,243.0,290.0
190719041,10,False,68.2,45.9,1.48,91.3,1987.8,6.3,6.7,316.0,4.2,4.2,1032.0,1018.0
190719041,11,True,44.1,38.5,1.15,23.7,616.1,3.8,5.4,162.0,1.8,2.0,255.0,318.0
190719041,12,False,66.4,60.9,1.09,9.7,159.8,3.6,4.8,44.0,1.5,1.6,148.0,199.0
190719041,13,False,125.5,90.4,1.39,28.3,313.7,5.5,5.8,57.0,3.4,3.5,763.0,782.0
190719041,14,False,126.4,69.0,1.83,293.8,4258.0,8.2,7.2,519.0,6.2,6.3,1657.0,1674.0
190719041,15,False,65.0,53.4,1.22,34.3,642.4,4.5,5.8,143.0,2.3,2.4,405.0,432.0
190719041,16,True,45.4,41.4,1.1,20.2,487.8,3.7,4.8,132.0,1.5,1.7,162.0,222.0
190719041,17,False,61.4,47.6,1.29,11.0,230.6,3.8,5.2,61.0,2.7,2.9,182.0,195.0
190719041,18,True,48.2,44.0,1.1,14.7,333.4,3.6,4.6,93.0,1.5,1.7,158.0,212.0
