taskid,beam,cont_pass,pol_pass,pol_V_pass,pol_QU_pass,HI_all_good,HI_all_good_ok,HI_c2_good_ok,HI_c2_good,HI_pass,all_pass,s_in,s_out,rat,N2,Ex-2,pol_s_in,pol_s_out,pol_rat,pol_N2,pol_Ex-2,pol_ftmax,pol_peak_in,pol_P2,pol_bmin,Q_bm_fg,U_bm_fg,Q_st_fg,U_st_fg,Field
190824041,3,True,True,True,True,False,False,False,False,False,True,57.2,53.5,1.07,1.4,127.0,51.7,51.4,1.0,1.0,869.0,5.6,403.9,1.0,1.2,0.17,0.17,0.29,0.29,S2154+4606
190824041,10,True,False,False,True,False,False,False,False,False,True,58.2,49.9,1.17,2.1,350.0,57.3,45.6,1.26,1.3,1107.0,5.7,8229.7,1.3,0.7,0.08,0.08,0.29,0.21,S2154+4606
190824041,16,True,True,True,True,False,False,False,False,False,True,53.9,47.3,1.14,1.7,251.0,45.0,45.2,0.99,1.0,839.0,7.5,238.4,1.0,1.2,0.08,0.08,0.17,0.17,S2154+4606
190824041,17,True,True,True,True,False,False,False,False,False,True,56.1,48.3,1.16,2.0,320.0,46.7,46.4,1.01,1.0,876.0,6.3,545.2,1.0,0.9,0.12,0.12,0.25,0.17,S2154+4606
190824041,22,True,True,True,True,False,False,False,False,False,False,59.9,52.6,1.14,1.8,262.0,51.8,50.9,1.02,1.0,900.0,7.5,1527.6,1.0,-0.5,0.08,0.08,0.25,0.25,S2154+4606
190824041,23,True,True,True,True,False,False,False,False,False,False,52.7,47.5,1.11,1.6,215.0,46.0,45.7,1.01,1.0,855.0,5.1,1492.7,1.0,1.6,0.08,0.08,0.17,0.17,S2154+4606
190824041,28,True,True,True,True,False,False,False,False,False,False,54.4,47.4,1.15,1.9,318.0,46.1,45.5,1.01,1.0,832.0,7.4,2257.2,1.0,1.0,0.12,0.12,0.21,0.21,S2154+4606
190824041,30,True,True,True,True,False,False,False,False,False,False,55.8,49.3,1.13,1.7,248.0,48.5,48.0,1.01,1.1,904.0,8.0,545.6,1.0,1.5,0.17,0.17,0.25,0.21,S2154+4606
190906044,0,True,True,True,True,True,True,True,True,True,True,33.4,29.4,1.13,1.7,287.0,31.8,31.5,1.01,1.0,1024.0,2.8,382.9,1.0,-5.1,0.08,0.08,0.08,0.08,S1025+5550
190906044,1,True,False,False,True,True,True,True,True,True,True,50.5,43.5,1.16,1.9,341.0,50.4,44.5,1.13,1.5,1360.0,7.7,2774.6,1.5,-7.9,0.08,0.08,0.12,0.17,S1025+5550
190906044,2,True,True,True,True,True,True,True,True,True,True,37.1,32.5,1.14,1.8,310.0,32.6,32.2,1.01,1.1,997.0,3.1,731.8,1.0,-3.1,0.08,0.08,0.08,0.08,S1025+5550
190906044,4,True,True,True,True,True,True,True,True,True,False,35.2,30.8,1.14,1.8,297.0,31.8,31.1,1.02,1.1,993.0,3.0,1102.6,1.0,-5.0,0.08,0.08,0.08,0.08,S1025+5550
190906044,5,True,True,True,True,True,True,True,True,True,False,34.5,30.3,1.14,1.8,302.0,30.9,30.5,1.01,1.0,989.0,5.9,845.1,1.0,-5.0,0.08,0.08,0.08,0.08,S1025+5550
190906044,6,True,False,False,True,True,True,True,True,True,False,45.7,40.9,1.12,1.6,216.0,42.8,40.6,1.05,1.1,1074.0,8.2,1326.2,1.1,-9.2,0.08,0.08,0.08,0.08,S1025+5550
190906044,8,True,True,True,True,True,True,True,True,True,True,41.6,37.8,1.1,1.5,198.0,38.0,37.7,1.01,1.0,937.0,14.8,501.0,1.0,-8.9,0.08,0.08,0.08,0.08,S1025+5550
190906044,9,True,True,True,True,True,True,True,True,True,True,35.9,32.0,1.12,1.6,235.0,32.9,32.2,1.02,1.0,932.0,6.0,1820.2,1.0,-7.0,0.08,0.08,0.08,0.08,S1025+5550
190906044,10,True,True,True,True,True,True,True,True,True,True,30.1,27.3,1.1,1.5,201.0,28.2,28.0,1.01,1.0,942.0,3.1,1098.5,1.0,-4.9,0.08,0.08,0.08,0.08,S1025+5550
190906044,11,True,True,True,True,True,True,True,True,True,True,33.1,28.4,1.17,2.0,386.0,29.3,28.8,1.02,1.0,990.0,4.0,1205.8,1.0,-4.6,0.08,0.08,0.08,0.08,S1025+5550
190906044,15,True,False,True,False,True,True,True,True,True,False,43.1,38.0,1.13,1.7,270.0,38.8,38.1,1.02,1.0,955.0,9.6,1622.1,1.0,-2.4,1.0,1.0,0.08,0.08,S1025+5550
190906044,16,True,True,True,True,False,True,True,False,False,True,37.3,33.5,1.11,1.6,239.0,34.4,34.0,1.01,1.0,972.0,13.9,586.4,1.0,-3.5,0.08,0.08,0.12,0.12,S1025+5550
190906044,18,True,True,True,True,True,True,True,True,True,True,38.9,33.4,1.17,2.0,377.0,35.1,34.2,1.03,1.1,1073.0,4.0,1039.8,1.1,-5.2,0.08,0.08,0.08,0.08,S1025+5550
190906044,23,True,True,True,True,True,True,True,True,True,False,37.9,31.2,1.21,2.2,456.0,31.0,30.8,1.01,1.0,917.0,8.8,1333.0,1.0,-10.4,0.12,0.12,0.12,0.12,S1025+5550
190906044,24,True,True,True,True,False,True,True,True,False,True,35.8,31.7,1.13,1.7,279.0,32.7,32.5,1.01,1.0,966.0,3.1,1159.3,1.0,-7.5,0.08,0.08,0.08,0.08,S1025+5550
190906044,30,True,True,True,True,False,False,True,True,False,False,34.0,30.1,1.13,1.7,254.0,31.2,30.8,1.01,1.0,1014.0,3.4,798.6,1.0,-9.7,0.08,0.08,0.08,0.08,S1025+5550
190906044,33,True,True,True,True,True,True,True,True,True,True,47.9,40.6,1.18,2.1,418.0,40.9,40.6,1.01,1.0,1034.0,14.5,519.5,1.0,-5.8,0.08,0.08,0.08,0.08,S1025+5550
