taskID,name,field_ra,field_dec,telescopes,duration,quality,beamPattern,fluxcal,flux_first,flux_last,polcal,pol_first,pol_last,apercal_version,apercal_name
190913046,M0155+3130,28.829167,31.5125,23456789ABCD,41400,good,square_39p1,3C147,190913014,190913035,3C286,190914001,190914040,v2.3-579-gb5609f7,150 MHz
190914041,S2332+3130,353.15,31.5125,23456789ABCD,41400,good,square_39p1,3C147,190915001,190915040,3C286,190914001,190914040,v2.5-5-g504d478,Autocorrelation flagging
190915041,S1435+5550,218.75,55.833333,23456789ABCD,41400,good,square_39p1,3C147,190915001,190915040,3C286,190916001,190916040,v2.5-5-g504d478,Autocorrelation flagging
190915042,M0209+3622,32.254167,36.376667,23456789ABCD,41400,good,square_39p1,3C147,190915001,190915040,3C286,190916001,190916040,v2.5-5-g504d478,Autocorrelation flagging
190919048,S1305+5815,196.4625,58.265556,23456789ABCD,41400,good,square_39p1,3C147,190919008,190919047,3C286,190920001,190920040,v2.5-5-g504d478,Autocorrelation flagging
190919049,M0155+3356,28.829167,33.944444,23456789ABCD,41400,good,square_39p1,3C147,190919008,190919047,3C286,190920001,190920040,v2.5-5-g504d478,Autocorrelation flagging
190920041,S2345+3130,356.395833,31.5125,23456789ABCD,41400,good,square_39p1,3C147,190921001,190921040,3C286,190920001,190920040,v2.5-5-g504d478,Autocorrelation flagging
190921041,S1454+5550,223.55,55.833333,23456789ABCD,41400,good,square_39p1,3C147,190921001,190921040,3C286,190922001,190922040,v2.5-5-g504d478,Autocorrelation flagging
190921042,S0218+3848,34.541667,38.808889,23456789ABCD,41400,good,square_39p1,3C147,190921001,190921040,3C286,190922001,190922040,v2.5-5-g504d478,Autocorrelation flagging
190922041,S2240+3130,340.179167,31.5125,23456789ABCD,41400,good,square_39p1,3C147,190923001,190923040,3C286,190922001,190922040,v2.5-5-g504d478,Autocorrelation flagging
191003042,S1102+5815,165.604167,58.265556,23456789ABCD,41400,good,square_39p1,3C147,191003002,191003041,3C138,191004001,191004040,v2.5-5-g504d478,Autocorrelation flagging
191003043,S2235+3356,338.829167,33.944444,23456789ABCD,41400,good,square_39p1,3C147,191003002,191003041,3C138,191004001,191004040,v2.5-5-g504d478,Autocorrelation flagging
