ObsID,Name,Beam,RA,Dec,V valid,QU valid,sigma_in,sigma_out,FT_max,peak_inner,bmin,Q_beam_frac,U_beam_frac,Q_noise_frac,U_noise_frac
190810041,S2253+3130,2,342.185526,30.499130,True,True,43.1,42.8,17.5,1645.9,11.3,0.08,0.08,0.12,0.12
190810041,S2253+3130,3,342.734551,30.499130,True,True,35.6,35.7,3.9,305.3,11.3,0.08,0.08,0.08,0.08
190810041,S2253+3130,4,343.283577,30.499130,True,True,35.7,35.1,4.5,1605.6,11.4,0.08,0.08,0.08,0.08
190810041,S2253+3130,8,341.911013,30.904478,True,True,46.1,44.2,5.7,2211.4,11.4,0.08,0.08,0.08,0.08
190810041,S2253+3130,9,342.460039,30.904478,True,True,39.1,37.9,6.9,1952.1,11.3,0.08,0.08,0.08,0.08
190810041,S2253+3130,10,343.009064,30.904478,True,True,33.5,33.3,5.3,817.7,11.4,0.08,0.08,0.08,0.08
190810041,S2253+3130,16,342.734551,31.309826,True,True,38.3,34.4,5.8,2618.3,11.5,0.08,0.08,0.08,0.08
190810041,S2253+3130,20,344.930653,31.309826,True,True,45.4,41.6,5.2,2155.7,11.5,0.08,0.08,0.08,0.08
190810041,S2253+3130,23,343.009064,31.715174,True,True,33.6,32.6,3.4,655.3,11.5,0.08,0.08,0.08,0.08
190810041,S2253+3130,27,342.185526,32.120522,True,True,45.0,44.5,9.6,1030.7,11.2,0.08,0.08,0.12,0.12
190810041,S2253+3130,28,342.734551,32.120522,True,True,33.9,33.6,3.6,898.4,11.6,0.08,0.08,0.08,0.08
190810041,S2253+3130,31,344.381627,32.120522,True,True,37.2,33.8,4.5,1916.4,11.5,0.08,0.08,0.08,0.08
190810041,S2253+3130,35,343.009064,32.525870,True,True,37.1,34.7,5.3,1806.4,11.7,0.08,0.08,0.08,0.08
190810041,S2253+3130,38,344.656140,32.525870,True,True,43.0,40.2,11.7,877.3,11.5,0.08,0.08,0.08,0.08
190811041,S1409+5058,3,211.458427,49.955797,True,True,33.4,32.6,5.1,893.6,12.7,0.08,0.08,0.08,0.08
190811041,S1409+5058,6,213.688202,49.955797,True,True,49.4,48.4,22.8,1040.2,12.3,0.08,0.08,0.08,0.08
190811041,S1409+5058,10,211.830056,50.361145,True,True,31.1,30.9,6.7,883.0,12.7,0.08,0.08,0.08,0.08
190811041,S1409+5058,16,211.458427,50.766493,True,True,32.6,32.7,3.9,426.0,12.8,0.08,0.08,0.08,0.08
190822046,S1025+5550,0,156.350000,55.833333,True,True,31.6,30.9,13.6,727.5,12.3,0.08,0.08,0.08,0.08
190822046,S1025+5550,3,155.308207,54.819963,True,True,30.9,30.9,3.8,505.8,12.3,0.08,0.08,0.08,0.08
190822046,S1025+5550,4,156.141641,54.819963,True,True,31.0,30.6,3.6,949.0,12.4,0.08,0.08,0.08,0.08
190822046,S1025+5550,5,156.975076,54.819963,True,True,33.1,32.1,10.5,1507.0,12.3,0.08,0.08,0.08,0.08
190822046,S1025+5550,6,157.808510,54.819963,True,True,43.8,41.1,13.3,2094.5,12.4,0.08,0.08,0.12,0.12
190822046,S1025+5550,8,154.058056,55.225311,True,True,36.0,35.7,5.0,1172.6,12.3,0.08,0.08,0.08,0.08
190822046,S1025+5550,9,154.891490,55.225311,True,True,30.7,30.5,4.4,732.6,12.2,0.08,0.08,0.08,0.08
190822046,S1025+5550,10,155.724924,55.225311,True,True,29.4,29.3,3.3,1120.0,12.4,0.08,0.08,0.08,0.08
190822046,S1025+5550,15,154.474773,55.630659,True,True,35.7,34.9,3.1,1143.3,12.4,0.08,0.08,0.08,0.08
190822046,S1025+5550,16,155.308207,55.630659,True,True,28.8,28.6,4.1,535.6,12.5,0.08,0.08,0.08,0.08
190822046,S1025+5550,17,156.141641,55.630659,True,True,28.2,27.7,2.8,441.0,12.4,0.08,0.08,0.08,0.08
190822046,S1025+5550,18,156.975076,55.630659,True,True,33.2,31.8,5.4,1433.1,12.4,0.08,0.08,0.08,0.08
190822046,S1025+5550,22,154.891490,56.036007,True,True,31.5,30.7,14.4,1244.0,12.6,0.08,0.08,0.08,0.08
190822046,S1025+5550,23,155.724924,56.036007,True,True,28.3,28.0,3.8,1122.0,12.6,0.08,0.08,0.08,0.08
190822046,S1025+5550,24,156.558359,56.036007,True,True,29.1,28.8,2.9,382.5,12.4,0.08,0.08,0.08,0.08
190822046,S1025+5550,29,156.141641,56.441355,True,True,27.4,26.9,3.9,415.8,12.6,0.08,0.08,0.08,0.08
190822046,S1025+5550,30,156.975076,56.441355,True,True,28.2,28.1,4.3,249.1,12.6,0.08,0.08,0.08,0.08
190822046,S1025+5550,36,156.558359,56.846703,True,True,32.0,31.0,4.4,2018.7,12.6,0.08,0.08,0.08,0.08
190822047,S2204+3848,0,331.012500,38.808889,True,True,36.0,34.7,4.0,756.0,11.6,0.08,0.08,0.12,0.12
190822047,S2204+3848,3,330.261675,37.795519,True,True,36.5,35.9,7.4,1545.4,11.7,0.08,0.08,0.12,0.12
190822047,S2204+3848,4,330.862335,37.795519,True,True,36.1,36.2,5.1,979.2,11.7,0.08,0.08,0.12,0.12
190822047,S2204+3848,10,330.562005,38.200867,True,True,35.0,33.1,8.0,1538.7,11.8,0.08,0.08,0.08,0.08
190822047,S2204+3848,11,331.162665,38.200867,True,True,36.3,33.7,5.1,1198.4,11.7,0.08,0.08,0.12,0.12
190822047,S2204+3848,15,329.661016,38.606215,True,True,40.8,40.4,7.0,1196.5,11.7,0.08,0.08,0.12,0.12
190822047,S2204+3848,17,330.862335,38.606215,True,True,39.1,34.2,5.1,1112.2,11.7,0.08,0.08,0.12,0.12
190822047,S2204+3848,22,329.961346,39.011563,True,True,33.8,33.7,5.5,1106.5,12.0,0.08,0.08,0.12,0.12
190822047,S2204+3848,23,330.562005,39.011563,True,True,33.9,33.5,6.4,1147.1,12.1,0.08,0.08,0.12,0.12
190822047,S2204+3848,24,331.162665,39.011563,True,True,35.5,35.3,5.1,271.0,11.7,0.08,0.08,0.12,0.12
190822047,S2204+3848,28,330.261675,39.416911,True,True,36.1,34.9,4.8,1924.5,11.8,0.08,0.08,0.12,0.12
190822047,S2204+3848,33,329.360686,39.822259,True,True,47.4,45.9,13.1,2012.7,11.9,0.08,0.08,0.17,0.17
190822047,S2204+3848,34,329.961346,39.822259,True,True,41.3,40.1,24.5,1170.5,11.8,0.08,0.08,0.12,0.12
190822047,S2204+3848,35,330.562005,39.822259,True,True,40.9,37.7,6.7,2939.5,11.8,0.08,0.08,0.12,0.12
190822047,S2204+3848,37,331.763325,39.822259,True,True,40.8,40.4,8.1,1226.0,12.1,0.08,0.08,0.12,0.12
190822047,S2204+3848,38,332.363984,39.822259,True,True,45.7,44.8,24.6,1823.0,12.1,0.08,0.08,0.17,0.12
190823041,S1258+6041,1,191.575188,59.684130,True,True,51.0,49.7,10.3,2440.3,12.1,0.08,0.08,0.12,0.12
190823041,S1258+6041,2,192.531540,59.684130,True,True,37.8,37.7,13.5,291.5,12.0,0.08,0.08,0.08,0.08
190823041,S1258+6041,3,193.487892,59.684130,True,True,32.6,32.3,3.5,1191.7,12.3,0.08,0.08,0.08,0.08
190823041,S1258+6041,4,194.444245,59.684130,True,True,33.5,32.9,2.9,1226.8,12.3,0.08,0.08,0.08,0.08
190823041,S1258+6041,5,195.400597,59.684130,True,True,36.1,32.8,7.5,2918.0,12.6,0.08,0.08,0.08,0.08
190823041,S1258+6041,6,196.356950,59.684130,True,True,43.6,41.5,4.8,2284.1,12.3,0.08,0.08,0.08,0.08
190823041,S1258+6041,8,192.053364,60.089478,True,True,42.6,42.2,4.4,1541.5,11.9,0.08,0.08,0.08,0.08
190823041,S1258+6041,9,193.009716,60.089478,True,True,35.7,34.9,4.0,1133.1,12.0,0.08,0.08,0.08,0.08
190823041,S1258+6041,10,193.966069,60.089478,True,True,31.9,31.6,5.5,1294.5,12.3,0.08,0.08,0.08,0.08
190823041,S1258+6041,11,194.922421,60.089478,True,True,32.6,32.4,2.6,707.4,12.4,0.08,0.08,0.08,0.08
190823041,S1258+6041,18,195.400597,60.494826,True,True,37.4,36.6,3.6,1828.5,12.4,0.08,0.08,0.08,0.08
190823041,S1258+6041,19,196.356950,60.494826,True,True,39.2,38.0,9.6,2136.1,12.4,0.08,0.08,0.08,0.08
190823041,S1258+6041,20,197.313302,60.494826,True,True,40.5,40.4,6.8,578.9,12.5,0.08,0.08,0.08,0.08
190823041,S1258+6041,21,192.053364,60.900174,True,True,48.2,46.3,6.6,967.0,12.6,0.08,0.08,0.08,0.08
190823041,S1258+6041,23,193.966069,60.900174,True,True,30.6,30.0,3.4,1402.3,12.7,0.08,0.08,0.08,0.08
190823041,S1258+6041,24,194.922421,60.900174,True,True,33.1,32.8,3.9,437.4,12.3,0.08,0.08,0.08,0.08
190823041,S1258+6041,25,195.878774,60.900174,True,True,36.5,36.1,6.0,384.6,12.5,0.08,0.08,0.08,0.08
190823041,S1258+6041,26,196.835126,60.900174,True,True,39.3,37.3,12.8,2478.8,12.2,0.08,0.08,0.08,0.08
190823041,S1258+6041,27,192.531540,61.305522,True,True,37.5,37.1,5.0,558.2,12.0,0.08,0.08,0.08,0.08
190823041,S1258+6041,28,193.487892,61.305522,True,True,34.8,32.2,3.6,2160.0,12.1,0.08,0.08,0.08,0.08
190823041,S1258+6041,31,196.356950,61.305522,True,True,33.5,32.7,3.5,1960.1,12.5,0.08,0.08,0.08,0.08
190823041,S1258+6041,33,192.053364,61.710870,True,True,44.3,43.9,4.8,1907.3,12.0,0.08,0.08,0.08,0.08
190823041,S1258+6041,34,193.009716,61.710870,True,True,39.1,36.8,3.2,2923.6,12.4,0.08,0.08,0.08,0.08
190823042,M0155+3130,3,28.142885,30.499130,True,True,47.3,47.1,10.3,310.0,11.0,0.08,0.08,0.17,0.17
190823042,M0155+3130,5,29.240936,30.499130,True,True,50.4,48.7,10.4,1822.8,11.0,0.08,0.08,0.21,0.21
190823042,M0155+3130,10,28.417398,30.904478,True,True,45.5,45.6,14.9,1309.6,11.1,0.08,0.08,0.17,0.17
190823042,M0155+3130,11,28.966423,30.904478,True,True,50.8,50.8,19.9,811.2,11.1,0.08,0.08,0.17,0.17
190823042,M0155+3130,16,28.142885,31.309826,True,True,44.6,44.2,8.6,796.0,11.2,0.08,0.08,0.17,0.17
