ObsID,Name,Beam,RA,Dec,Pass,sigma_in,sigma_out,bmin,R,Ex-2,Neg10
190718124,S2146+4340,30,327.002009,44.281078,False,82.8,49.2,25.6,1.68,345.0,5.6
190718124,S2146+4340,31,327.649131,44.281078,False,77.1,49.8,23.1,1.55,333.0,5.1
190718124,S2146+4340,32,328.296254,44.281078,False,107.4,75.5,23.1,1.42,252.0,4.5
190718124,S2146+4340,33,324.737080,44.686426,False,127.5,67.4,21.9,1.89,599.0,8.0
190718124,S2146+4340,34,325.384203,44.686426,False,62.7,48.6,21.9,1.29,196.0,3.9
190718124,S2146+4340,35,326.031325,44.686426,False,67.0,48.3,22.3,1.39,248.0,4.3
190718124,S2146+4340,36,326.678448,44.686426,False,73.6,48.9,22.7,1.51,324.0,6.0
190718124,S2146+4340,37,327.325570,44.686426,False,70.5,46.6,22.7,1.51,340.0,4.9
190718124,S2146+4340,38,327.972693,44.686426,False,73.4,54.0,22.2,1.36,220.0,4.1
190718124,S2146+4340,39,328.619815,44.686426,False,21946.3,13915.2,12.2,1.58,1183.0,7.3
190719041,S1242+5058,0,190.700000,50.969167,False,59.1,39.4,22.6,1.5,352.0,4.7
190719041,S1242+5058,1,188.284410,49.955797,True,60.4,54.2,12.9,1.11,197.0,3.8
190719041,S1242+5058,2,189.027668,49.955797,False,61.3,45.7,23.0,1.34,209.0,3.9
190719041,S1242+5058,3,189.770927,49.955797,True,42.3,36.5,12.5,1.16,299.0,4.2
190719041,S1242+5058,4,190.514185,49.955797,False,60.4,45.4,23.0,1.33,218.0,4.2
190719041,S1242+5058,5,191.257444,49.955797,False,65.9,45.5,25.8,1.45,235.0,4.1
190719041,S1242+5058,6,192.000702,49.955797,False,97.0,55.2,22.9,1.76,521.0,6.8
190719041,S1242+5058,7,192.743961,49.955797,False,98.2,63.1,22.9,1.56,410.0,7.2
190719041,S1242+5058,8,188.656039,50.361145,False,89.3,51.3,23.0,1.74,520.0,6.6
190719041,S1242+5058,9,189.399298,50.361145,False,57.1,45.2,23.5,1.26,184.0,3.8
190719041,S1242+5058,10,190.142556,50.361145,False,61.1,38.6,23.0,1.58,398.0,4.9
190719041,S1242+5058,11,190.885815,50.361145,False,60.6,42.1,25.8,1.44,228.0,4.2
190719041,S1242+5058,12,191.629073,50.361145,False,79.8,59.4,22.5,1.34,238.0,4.2
190719041,S1242+5058,13,192.372332,50.361145,False,125.5,90.4,12.9,1.39,763.0,5.5
190719041,S1242+5058,14,193.115590,50.361145,False,115.3,72.7,22.6,1.59,416.0,5.7
190719041,S1242+5058,15,189.027668,50.766493,False,61.1,48.1,21.9,1.27,185.0,3.8
190719041,S1242+5058,16,189.770927,50.766493,False,51.9,40.8,23.0,1.27,190.0,4.0
190719041,S1242+5058,17,190.514185,50.766493,False,51.3,41.7,23.0,1.23,139.0,3.6
190719041,S1242+5058,18,191.257444,50.766493,False,51.9,41.2,22.6,1.26,191.0,3.8
190719041,S1242+5058,19,192.000702,50.766493,False,63.7,49.7,23.0,1.28,174.0,3.9
190719041,S1242+5058,20,192.743961,50.766493,False,78.2,51.9,22.3,1.51,390.0,5.3
190719041,S1242+5058,21,188.656039,51.171841,False,66.4,51.7,22.6,1.28,192.0,4.0
190719041,S1242+5058,22,189.399298,51.171841,False,63.6,45.0,25.8,1.41,217.0,4.1
190719041,S1242+5058,23,190.142556,51.171841,False,46.3,37.1,23.0,1.25,157.0,3.5
190719041,S1242+5058,24,190.885815,51.171841,False,59.9,39.6,22.6,1.51,393.0,5.1
190719041,S1242+5058,25,191.629073,51.171841,False,70.4,46.1,23.5,1.53,359.0,4.8
190719041,S1242+5058,26,192.372332,51.171841,False,100.3,79.2,23.0,1.27,166.0,3.7
190719041,S1242+5058,27,189.027668,51.577189,False,66.5,48.6,22.6,1.37,269.0,4.4
190719041,S1242+5058,28,189.770927,51.577189,False,58.0,42.7,23.1,1.36,237.0,4.0
190719041,S1242+5058,29,190.514185,51.577189,False,91.6,58.5,22.5,1.57,411.0,5.2
190719041,S1242+5058,30,191.257444,51.577189,False,76.9,54.0,25.8,1.42,226.0,4.1
190719041,S1242+5058,31,192.000702,51.577189,False,72.9,54.3,23.6,1.34,247.0,4.6
190719041,S1242+5058,32,192.743961,51.577189,False,126.4,71.6,23.5,1.77,522.0,6.5
190719041,S1242+5058,33,188.656039,51.982537,False,87.4,60.1,22.2,1.45,330.0,4.4
190719041,S1242+5058,34,189.399298,51.982537,False,58.2,46.1,22.2,1.26,196.0,3.8
190719041,S1242+5058,35,190.142556,51.982537,False,59.1,45.3,22.7,1.31,208.0,3.9
190719041,S1242+5058,36,190.885815,51.982537,False,57.3,42.4,23.1,1.35,231.0,4.0
190719041,S1242+5058,37,191.629073,51.982537,False,62.3,44.2,23.1,1.41,313.0,4.7
190719041,S1242+5058,38,192.372332,51.982537,False,80.4,51.4,22.6,1.56,413.0,5.2
190719041,S1242+5058,39,193.115590,51.982537,False,146.0,84.4,23.6,1.73,498.0,7.1
190719042,M0155+3130,0,28.829167,31.512500,False,77.7,44.6,21.8,1.74,366.0,5.1
190719042,M0155+3130,1,27.044835,30.499130,True,68.9,58.7,11.6,1.17,256.0,5.9
190719042,M0155+3130,2,27.593860,30.499130,False,79.6,51.0,22.2,1.56,270.0,4.9
190719042,M0155+3130,3,28.142885,30.499130,True,49.1,40.8,11.3,1.2,313.0,4.7
190719042,M0155+3130,4,28.691911,30.499130,False,67.7,50.1,22.1,1.35,177.0,4.1
190719042,M0155+3130,5,29.240936,30.499130,False,80.6,53.0,25.3,1.52,207.0,4.8
190719042,M0155+3130,6,29.789961,30.499130,False,82.7,54.5,22.2,1.52,257.0,4.8
190719042,M0155+3130,7,30.338987,30.499130,False,109.5,70.7,22.1,1.55,268.0,4.5
190719042,M0155+3130,8,27.319347,30.904478,False,71.1,54.0,22.2,1.32,132.0,3.6
190719042,M0155+3130,9,27.868373,30.904478,False,69.9,51.1,22.5,1.37,168.0,4.0
190719042,M0155+3130,10,28.417398,30.904478,False,65.9,45.9,22.2,1.44,197.0,4.0
190719042,M0155+3130,11,28.966423,30.904478,False,69.3,47.7,25.3,1.45,159.0,4.1
190719042,M0155+3130,12,29.515449,30.904478,False,129.5,84.8,21.8,1.53,268.0,5.2
190719042,M0155+3130,13,30.064474,30.904478,False,nan,nan,nan,nan,nan,nan
190719042,M0155+3130,14,30.613499,30.904478,False,139.5,81.3,21.6,1.72,372.0,5.6
190719042,M0155+3130,15,27.593860,31.309826,False,80.7,55.0,21.2,1.47,251.0,4.5
190719042,M0155+3130,16,28.142885,31.309826,False,70.5,45.0,22.2,1.56,290.0,5.4
190719042,M0155+3130,17,28.691911,31.309826,False,69.5,46.8,22.2,1.48,247.0,4.5
190719042,M0155+3130,18,29.240936,31.309826,False,70.1,49.8,21.8,1.41,208.0,4.0
190719042,M0155+3130,19,29.789961,31.309826,False,111.8,55.8,22.2,2.0,482.0,8.5
190719042,M0155+3130,20,30.338987,31.309826,False,93.9,62.5,21.5,1.5,263.0,4.5
190719042,M0155+3130,21,27.319347,31.715174,False,nan,nan,nan,nan,nan,nan
190719042,M0155+3130,22,27.868373,31.715174,False,65.7,49.3,25.4,1.33,129.0,3.8
190719042,M0155+3130,23,28.417398,31.715174,False,nan,nan,nan,nan,nan,nan
190719042,M0155+3130,24,28.966423,31.715174,False,nan,nan,nan,nan,nan,nan
190719042,M0155+3130,25,29.515449,31.715174,False,200.8,51.1,22.4,3.93,877.0,9.7
190719042,M0155+3130,26,30.064474,31.715174,False,99.9,56.8,22.2,1.76,366.0,6.5
190719042,M0155+3130,27,27.593860,32.120522,False,75.7,52.8,21.8,1.43,228.0,4.4
190719042,M0155+3130,28,28.142885,32.120522,False,58.1,42.7,22.2,1.36,177.0,3.9
190719042,M0155+3130,29,28.691911,32.120522,False,91.7,59.1,21.5,1.55,281.0,4.6
190719042,M0155+3130,30,29.240936,32.120522,False,177.7,57.8,25.3,3.07,588.0,9.2
190719042,M0155+3130,31,29.789961,32.120522,False,95.8,58.4,22.5,1.64,316.0,4.9
190719042,M0155+3130,32,30.338987,32.120522,False,146.8,85.9,22.4,1.71,339.0,6.1
190719042,M0155+3130,33,27.319347,32.525870,False,87.7,65.8,21.5,1.33,167.0,3.9
190719042,M0155+3130,34,27.868373,32.525870,False,81.7,57.7,21.5,1.42,211.0,4.2
190719042,M0155+3130,35,28.417398,32.525870,False,81.4,51.2,21.7,1.59,318.0,4.8
190719042,M0155+3130,36,28.966423,32.525870,False,89.0,51.3,22.2,1.73,373.0,5.7
190719042,M0155+3130,37,29.515449,32.525870,False,78.2,53.0,22.2,1.48,233.0,4.3
190719042,M0155+3130,38,30.064474,32.525870,False,71.2,56.4,21.7,1.26,129.0,3.6
190719042,M0155+3130,39,30.613499,32.525870,False,143.6,103.7,22.5,1.38,169.0,3.9
190720041,S2336+2904,0,354.091667,29.080278,False,61.6,43.4,21.8,1.42,199.0,3.8
190720041,S2336+2904,1,352.351055,28.066908,False,116.3,63.7,22.2,1.82,359.0,5.3
190720041,S2336+2904,2,352.886628,28.066908,False,74.9,50.3,22.2,1.49,210.0,4.3
190720041,S2336+2904,3,353.422201,28.066908,False,58.7,45.4,11.5,1.29,380.0,4.1
190720041,S2336+2904,4,353.957774,28.066908,False,83.0,48.9,22.3,1.7,313.0,5.4
190720041,S2336+2904,5,354.493347,28.066908,False,79.6,54.0,25.3,1.47,161.0,4.0
