ObsID,Name,Beam,RA,Dec,sigma_in,sigma_out,bmin,R,Ex-2,Neg10
191024043,S1402+3622,24,210.687002,36.579341,34.8,31.7,11.7,1.1,133.0,3.5
191024043,S1402+3622,25,211.268344,36.579341,46.5,42.3,12.0,1.1,124.0,3.3
191024043,S1402+3622,26,211.849685,36.579341,53.9,46.5,12.1,1.16,226.0,3.8
191024043,S1402+3622,27,209.233649,36.984689,45.4,39.4,11.8,1.15,255.0,4.3
191024043,S1402+3622,28,209.814990,36.984689,41.2,35.9,12.1,1.15,215.0,3.7
191024043,S1402+3622,29,210.396332,36.984689,39.1,34.7,11.5,1.13,178.0,3.5
191024043,S1402+3622,30,210.977673,36.984689,39.5,34.6,11.5,1.14,214.0,3.7
191024043,S1402+3622,31,211.559014,36.984689,46.1,41.9,11.5,1.1,157.0,3.5
191024043,S1402+3622,33,208.942978,37.390037,55.9,52.2,11.6,1.07,124.0,3.5
191024043,S1402+3622,34,209.524320,37.390037,50.3,45.8,11.8,1.1,144.0,3.5
191024043,S1402+3622,35,210.105661,37.390037,45.6,39.7,11.8,1.15,219.0,3.7
191024043,S1402+3622,36,210.687002,37.390037,39.5,36.3,11.7,1.09,131.0,3.5
191024043,S1402+3622,37,211.268344,37.390037,42.3,36.4,11.8,1.16,257.0,4.0
191024043,S1402+3622,38,211.849685,37.390037,48.5,42.4,11.8,1.14,213.0,4.1
191024044,M0155+3622,0,28.829167,36.376667,36.4,30.2,12.0,1.21,343.0,4.4
191024044,M0155+3622,1,26.939808,35.363297,58.8,48.5,12.2,1.21,327.0,4.1
191024044,M0155+3622,2,27.521149,35.363297,57.8,47.4,12.6,1.22,327.0,5.4
191024044,M0155+3622,3,28.102490,35.363297,49.0,44.1,12.3,1.11,142.0,3.5
191024044,M0155+3622,5,29.265173,35.363297,37.6,32.6,11.9,1.15,219.0,3.7
191024044,M0155+3622,6,29.846514,35.363297,37.8,34.0,11.7,1.11,166.0,3.5
191024044,M0155+3622,7,30.427856,35.363297,50.1,46.0,12.0,1.09,127.0,3.5
191024044,M0155+3622,9,27.811820,35.768645,41.5,34.8,11.9,1.2,296.0,3.9
191024044,M0155+3622,10,28.393161,35.768645,36.8,31.1,12.0,1.18,281.0,3.9
191024044,M0155+3622,12,29.555844,35.768645,39.9,33.6,11.5,1.19,272.0,3.8
191024044,M0155+3622,13,30.137185,35.768645,39.2,34.7,11.8,1.13,175.0,3.6
191024044,M0155+3622,14,30.718526,35.768645,55.0,46.4,12.0,1.19,285.0,4.0
191024044,M0155+3622,16,28.102490,36.173993,37.5,31.8,11.5,1.18,284.0,3.9
191024044,M0155+3622,18,29.265173,36.173993,47.4,40.4,11.5,1.17,286.0,3.9
191024044,M0155+3622,19,29.846514,36.173993,35.5,32.1,11.6,1.11,163.0,3.5
191024044,M0155+3622,20,30.427856,36.173993,44.8,38.9,11.7,1.15,227.0,3.8
191024044,M0155+3622,24,28.974502,36.579341,38.5,32.1,11.6,1.2,310.0,3.9
191024044,M0155+3622,25,29.555844,36.579341,46.6,42.0,11.9,1.11,129.0,3.4
191024044,M0155+3622,26,30.137185,36.579341,54.6,47.1,12.0,1.16,213.0,3.8
191024044,M0155+3622,30,29.265173,36.984689,35.7,30.8,11.9,1.16,262.0,4.3
191024044,M0155+3622,31,29.846514,36.984689,49.5,41.9,11.7,1.18,281.0,3.7
191024044,M0155+3622,32,30.427856,36.984689,53.3,49.3,12.1,1.08,106.0,3.4
191024044,M0155+3622,35,28.393161,37.390037,39.7,33.0,11.7,1.2,356.0,4.7
191024044,M0155+3622,38,30.137185,37.390037,44.9,37.7,11.7,1.19,310.0,4.3
191025081,M0155+3622,0,28.829167,36.376667,38.3,32.1,12.1,1.19,303.0,4.0
191025081,M0155+3622,3,28.102490,35.363297,52.1,46.7,12.5,1.12,138.0,3.5
191025081,M0155+3622,5,29.265173,35.363297,42.1,36.0,12.3,1.17,259.0,4.1
191025081,M0155+3622,9,27.811820,35.768645,45.1,36.9,12.3,1.22,335.0,3.9
191025081,M0155+3622,10,28.393161,35.768645,38.7,33.2,12.2,1.16,267.0,3.9
191025081,M0155+3622,12,29.555844,35.768645,38.7,34.3,11.9,1.13,199.0,3.6
191025081,M0155+3622,13,30.137185,35.768645,45.1,38.3,12.1,1.18,257.0,3.8
191025081,M0155+3622,14,30.718526,35.768645,53.4,47.6,12.1,1.12,193.0,3.7
191025081,M0155+3622,16,28.102490,36.173993,37.2,32.3,11.9,1.15,225.0,3.8
191025081,M0155+3622,18,29.265173,36.173993,46.4,39.4,12.0,1.18,297.0,4.0
191025081,M0155+3622,19,29.846514,36.173993,35.7,32.2,12.0,1.11,155.0,3.6
191025081,M0155+3622,20,30.427856,36.173993,43.8,38.7,12.0,1.13,198.0,3.7
191025081,M0155+3622,23,28.393161,36.579341,37.8,32.1,12.0,1.18,253.0,3.8
191025081,M0155+3622,24,28.974502,36.579341,35.0,30.6,12.1,1.14,209.0,3.8
191025081,M0155+3622,28,28.102490,36.984689,51.4,42.6,12.5,1.21,346.0,4.5
191025081,M0155+3622,29,28.683832,36.984689,37.4,32.3,12.2,1.16,211.0,3.6
191025081,M0155+3622,30,29.265173,36.984689,35.2,30.1,12.1,1.17,282.0,4.2
191025081,M0155+3622,32,30.427856,36.984689,52.3,47.7,12.0,1.09,132.0,3.5
191025081,M0155+3622,35,28.393161,37.390037,39.2,32.7,12.1,1.2,363.0,4.5
191025081,M0155+3622,37,29.555844,37.390037,38.5,33.2,12.1,1.16,260.0,4.4
191025081,M0155+3622,38,30.137185,37.390037,43.2,36.9,12.0,1.17,268.0,4.4
191026001,S1408+3356,1,210.328812,32.931074,59.3,52.3,11.3,1.13,188.0,3.8
191026001,S1408+3356,3,211.457235,32.931074,53.8,49.3,11.6,1.09,116.0,3.5
191026001,S1408+3356,4,212.021447,32.931074,41.8,37.6,11.3,1.11,160.0,3.5
191026001,S1408+3356,5,212.585659,32.931074,40.7,36.6,11.2,1.11,168.0,3.5
191026001,S1408+3356,9,211.175129,33.336422,42.6,37.9,11.2,1.12,164.0,3.6
191026001,S1408+3356,10,211.739341,33.336422,39.1,34.8,11.3,1.13,154.0,3.6
191026001,S1408+3356,12,212.867765,33.336422,45.5,37.8,11.2,1.2,284.0,3.7
191026001,S1408+3356,13,213.431977,33.336422,42.6,37.7,11.3,1.13,175.0,3.6
191026001,S1408+3356,14,213.996188,33.336422,56.7,51.1,11.3,1.11,153.0,3.6
191026001,S1408+3356,15,210.893023,33.741770,55.9,48.7,11.2,1.15,183.0,3.6
191026001,S1408+3356,16,211.457235,33.741770,38.9,32.4,11.4,1.2,293.0,3.8
191026001,S1408+3356,18,212.585659,33.741770,48.7,41.9,11.4,1.16,252.0,3.8
191026001,S1408+3356,19,213.149871,33.741770,40.5,34.0,11.3,1.19,269.0,3.9
191026001,S1408+3356,30,212.585659,34.552466,38.0,32.7,11.4,1.16,233.0,3.7
191026001,S1408+3356,35,211.739341,34.957814,39.5,34.5,11.5,1.14,198.0,3.7
191026001,S1408+3356,36,212.303553,34.957814,45.4,38.0,11.4,1.2,308.0,3.8
191026001,S1408+3356,37,212.867765,34.957814,42.1,36.6,11.4,1.15,206.0,3.7
191027043,S1401+3130,0,210.450000,31.512500,35.9,30.9,11.5,1.16,214.0,3.7
191027043,S1401+3130,10,210.038231,30.904478,39.5,33.0,11.2,1.19,275.0,4.0
191027043,S1401+3130,11,210.587256,30.904478,38.9,32.0,11.3,1.22,306.0,4.2
191027043,S1401+3130,12,211.136282,30.904478,39.8,33.0,11.1,1.21,316.0,4.3
191027043,S1401+3130,13,211.685307,30.904478,38.3,33.5,11.2,1.14,185.0,3.6
191027043,S1401+3130,14,212.234332,30.904478,51.1,44.9,11.2,1.14,184.0,3.6
191027043,S1401+3130,15,209.214693,31.309826,53.4,44.1,11.2,1.21,328.0,4.3
191027043,S1401+3130,17,210.312744,31.309826,36.8,31.8,11.3,1.16,198.0,3.7
191027043,S1401+3130,18,210.861769,31.309826,42.5,36.7,11.3,1.16,244.0,4.0
191027043,S1401+3130,19,211.410794,31.309826,36.0,31.4,11.4,1.15,198.0,3.7
191027043,S1401+3130,20,211.959820,31.309826,46.2,38.7,11.3,1.2,277.0,4.4
191027043,S1401+3130,22,209.489206,31.715174,39.7,33.3,11.4,1.19,272.0,3.8
191027043,S1401+3130,23,210.038231,31.715174,36.7,30.5,11.4,1.2,275.0,4.0
191027043,S1401+3130,24,210.587256,31.715174,34.5,29.8,11.4,1.16,222.0,3.8
191027043,S1401+3130,25,211.136282,31.715174,41.3,38.0,11.7,1.09,114.0,3.5
191027043,S1401+3130,29,210.312744,32.120522,36.6,32.2,11.4,1.14,168.0,3.5
191027043,S1401+3130,30,210.861769,32.120522,36.0,30.3,11.3,1.19,247.0,4.1
191027043,S1401+3130,32,211.959820,32.120522,59.5,52.3,11.3,1.14,188.0,3.6
191027043,S1401+3130,33,208.940180,32.525870,55.1,45.1,11.2,1.22,343.0,4.3
191027043,S1401+3130,34,209.489206,32.525870,50.1,40.9,11.3,1.22,356.0,4.3
191027043,S1401+3130,35,210.038231,32.525870,40.4,34.2,11.4,1.18,247.0,4.1
191027043,S1401+3130,36,210.587256,32.525870,40.4,33.5,11.4,1.21,283.0,4.2
191027043,S1401+3130,37,211.136282,32.525870,40.6,33.9,11.4,1.2,295.0,4.2
191027043,S1401+3130,38,211.685307,32.525870,46.7,40.7,11.4,1.15,209.0,3.7
191027044,M0155+3622,0,28.829167,36.376667,36.0,29.9,11.7,1.2,304.0,4.2
191027044,M0155+3622,2,27.521149,35.363297,53.9,45.2,12.0,1.19,264.0,5.8
191027044,M0155+3622,3,28.102490,35.363297,49.1,43.6,11.9,1.13,160.0,3.5
191027044,M0155+3622,6,29.846514,35.363297,38.9,33.6,11.5,1.16,213.0,3.7
191027044,M0155+3622,7,30.427856,35.363297,56.8,52.3,11.9,1.09,102.0,3.5
191027044,M0155+3622,9,27.811820,35.768645,41.2,34.1,11.5,1.21,332.0,3.9
191027044,M0155+3622,10,28.393161,35.768645,36.7,30.6,11.5,1.2,310.0,4.0
191027044,M0155+3622,12,29.555844,35.768645,37.7,32.4,11.6,1.16,218.0,3.7
191027044,M0155+3622,13,30.137185,35.768645,38.3,33.5,11.7,1.14,225.0,3.7
191027044,M0155+3622,14,30.718526,35.768645,51.1,44.1,11.7,1.16,247.0,4.0
191027044,M0155+3622,16,28.102490,36.173993,36.4,30.6,11.4,1.19,286.0,3.9
191027044,M0155+3622,18,29.265173,36.173993,44.6,38.6,11.4,1.16,257.0,3.9
191027044,M0155+3622,19,29.846514,36.173993,39.4,33.3,11.5,1.18,272.0,3.8
191027044,M0155+3622,20,30.427856,36.173993,42.6,37.7,11.5,1.13,204.0,3.8
191027044,M0155+3622,23,28.393161,36.579341,36.0,30.3,11.4,1.19,278.0,3.9
191027044,M0155+3622,24,28.974502,36.579341,35.3,29.9,11.5,1.18,287.0,3.9
191027044,M0155+3622,25,29.555844,36.579341,44.2,39.9,11.9,1.11,146.0,3.4
191027044,M0155+3622,26,30.137185,36.579341,48.6,43.9,11.8,1.11,137.0,3.5
191027044,M0155+3622,30,29.265173,36.984689,35.3,29.9,11.5,1.18,285.0,4.2
191027044,M0155+3622,31,29.846514,36.984689,44.6,38.8,11.5,1.15,236.0,3.6
191027044,M0155+3622,32,30.427856,36.984689,56.0,49.7,11.8,1.13,186.0,3.6
191027044,M0155+3622,33,27.230478,37.390037,54.0,44.3,11.6,1.22,373.0,5.1
191027044,M0155+3622,35,28.393161,37.390037,39.9,32.9,11.6,1.21,366.0,4.7
191027044,M0155+3622,37,29.555844,37.390037,38.8,33.2,11.6,1.17,259.0,4.3
191027044,M0155+3622,38,30.137185,37.390037,44.5,38.0,11.5,1.17,278.0,4.3
191031242,M0155+3622,3,28.102490,35.363297,43.2,37.7,10.9,1.15,246.0,3.8
191031242,M0155+3622,4,28.683832,35.363297,45.0,37.4,11.1,1.2,340.0,4.4
191031242,M0155+3622,5,29.265173,35.363297,46.9,40.1,11.7,1.17,274.0,4.0
191031242,M0155+3622,6,29.846514,35.363297,49.8,40.8,11.3,1.22,393.0,4.1
191031242,M0155+3622,9,27.811820,35.768645,47.5,40.9,10.3,1.16,306.0,4.0
191031242,M0155+3622,10,28.393161,35.768645,39.7,33.1,11.0,1.2,343.0,4.4
191031242,M0155+3622,12,29.555844,35.768645,41.1,36.3,10.5,1.13,255.0,3.7
191031242,M0155+3622,13,30.137185,35.768645,54.8,49.0,11.5,1.12,181.0,3.9
191031242,M0155+3622,14,30.718526,35.768645,59.2,52.0,11.9,1.14,221.0,3.9
191031242,M0155+3622,16,28.102490,36.173993,49.9,40.8,11.5,1.22,352.0,4.2
191031242,M0155+3622,19,29.846514,36.173993,39.0,33.9,11.4,1.15,252.0,3.8
191031242,M0155+3622,20,30.427856,36.173993,47.3,39.1,11.4,1.21,350.0,4.6
191031242,M0155+3622,23,28.393161,36.579341,39.8,32.8,11.2,1.21,352.0,4.3
191031242,M0155+3622,24,28.974502,36.579341,37.0,31.7,11.4,1.17,282.0,4.1
191031242,M0155+3622,25,29.555844,36.579341,38.5,35.0,11.0,1.1,152.0,3.6
191031242,M0155+3622,26,30.137185,36.579341,41.6,37.3,11.0,1.11,185.0,3.6
191031242,M0155+3622,30,29.265173,36.984689,37.4,31.5,11.2,1.19,320.0,4.4
191031242,M0155+3622,31,29.846514,36.984689,48.8,42.7,11.6,1.14,207.0,3.7
191031242,M0155+3622,37,29.555844,37.390037,43.4,37.0,11.1,1.17,291.0,4.8
191101041,M0155+3622,3,28.102490,35.363297,45.2,39.4,10.4,1.15,290.0,4.1
191101041,M0155+3622,4,28.683832,35.363297,43.8,37.5,10.3,1.17,327.0,4.1
191101041,M0155+3622,5,29.265173,35.363297,49.4,42.4,10.7,1.17,276.0,3.8
191101041,M0155+3622,6,29.846514,35.363297,42.5,37.9,10.4,1.12,204.0,3.7
191101041,M0155+3622,9,27.811820,35.768645,46.3,39.8,10.2,1.16,304.0,4.0
191101041,M0155+3622,10,28.393161,35.768645,41.8,35.9,10.3,1.16,317.0,4.1
191101041,M0155+3622,12,29.555844,35.768645,40.7,35.2,10.3,1.16,278.0,3.9
191101041,M0155+3622,18,29.265173,36.173993,40.3,33.2,10.3,1.21,418.0,4.0
191101041,M0155+3622,19,29.846514,36.173993,40.6,35.3,10.3,1.15,286.0,4.0
191101041,M0155+3622,20,30.427856,36.173993,48.6,42.0,10.3,1.16,288.0,4.2
191101041,M0155+3622,23,28.393161,36.579341,42.4,35.1,10.4,1.21,405.0,4.1
191101041,M0155+3622,25,29.555844,36.579341,43.0,38.1,10.3,1.13,231.0,3.7
191101041,M0155+3622,26,30.137185,36.579341,44.8,40.2,10.3,1.12,206.0,3.7
191101041,M0155+3622,29,28.683832,36.984689,39.6,35.8,10.5,1.11,214.0,3.7
191101041,M0155+3622,30,29.265173,36.984689,39.8,33.9,10.5,1.18,353.0,4.5
191101041,M0155+3622,37,29.555844,37.390037,46.3,39.2,10.4,1.18,368.0,4.7
191101041,M0155+3622,39,30.718526,37.390037,57.1,53.4,10.4,1.07,115.0,3.5
191102001,M1403+5324,0,210.850000,53.401389,34.3,30.5,11.3,1.12,280.0,3.8
191102001,M1403+5324,4,210.653734,52.388019,39.9,34.1,11.6,1.17,404.0,4.3
191102001,M1403+5324,8,208.691078,52.793367,47.3,43.5,11.5,1.09,200.0,3.7
191102001,M1403+5324,9,209.476141,52.793367,43.0,37.7,11.4,1.14,318.0,4.0
191102001,M1403+5324,15,209.083609,53.198715,49.3,43.6,11.6,1.13,301.0,3.8
191102001,M1403+5324,27,209.083609,54.009411,43.2,36.3,11.5,1.19,456.0,4.4
191102001,M1403+5324,37,211.831328,54.414759,44.2,37.8,11.3,1.17,399.0,4.0
191103033,S1414+3130,0,213.691667,31.512500,41.1,34.2,10.2,1.2,376.0,4.3
191103033,S1414+3130,3,213.005385,30.499130,45.3,38.2,10.2,1.19,325.0,4.8
191103033,S1414+3130,4,213.554411,30.499130,46.2,40.0,10.2,1.16,279.0,3.9
191103033,S1414+3130,5,214.103436,30.499130,50.7,42.8,10.5,1.19,275.0,3.8
191103033,S1414+3130,6,214.652461,30.499130,45.7,38.5,10.2,1.19,309.0,4.0
191103033,S1414+3130,9,212.730873,30.904478,50.2,41.8,10.1,1.2,315.0,3.9
191103033,S1414+3130,10,213.279898,30.904478,44.6,38.4,10.1,1.16,285.0,4.0
191103033,S1414+3130,11,213.828923,30.904478,43.8,36.2,10.1,1.21,361.0,4.3
191103033,S1414+3130,12,214.377949,30.904478,44.6,37.6,10.3,1.19,292.0,3.9
191103033,S1414+3130,18,214.103436,31.309826,42.0,35.1,10.3,1.2,323.0,4.0
191103033,S1414+3130,19,214.652461,31.309826,45.0,37.1,10.3,1.21,369.0,4.2
191103033,S1414+3130,34,212.730873,32.525870,49.6,43.9,10.2,1.13,202.0,3.6
191103033,S1414+3130,36,213.828923,32.525870,52.1,44.9,10.4,1.16,276.0,4.1
191103033,S1414+3130,37,214.377949,32.525870,50.2,42.8,10.2,1.17,313.0,4.2
191103034,M0155+3622,0,28.829167,36.376667,40.9,34.4,10.2,1.19,377.0,4.4
191103034,M0155+3622,3,28.102490,35.363297,48.8,41.2,10.4,1.19,338.0,4.2
191103034,M0155+3622,4,28.683832,35.363297,44.7,38.0,10.4,1.18,325.0,4.1
191103034,M0155+3622,5,29.265173,35.363297,55.1,45.2,10.6,1.22,384.0,4.2
191103034,M0155+3622,6,29.846514,35.363297,43.6,38.4,10.3,1.14,236.0,3.8
191103034,M0155+3622,9,27.811820,35.768645,47.3,40.4,10.3,1.17,306.0,4.0
191103034,M0155+3622,10,28.393161,35.768645,40.9,35.8,10.4,1.14,246.0,3.9
191103034,M0155+3622,12,29.555844,35.768645,40.6,35.6,10.3,1.14,262.0,3.8
191103034,M0155+3622,16,28.102490,36.173993,53.0,44.6,10.5,1.19,318.0,4.3
191103034,M0155+3622,18,29.265173,36.173993,40.0,33.4,10.4,1.2,393.0,4.0
191103034,M0155+3622,19,29.846514,36.173993,43.3,37.5,10.5,1.15,288.0,3.9
191103034,M0155+3622,37,29.555844,37.390037,48.1,40.4,10.2,1.19,380.0,4.5
191113139,M0155+3622,2,27.521149,35.363297,41.5,34.4,11.3,1.21,360.0,5.5
191113139,M0155+3622,6,29.846514,35.363297,41.3,37.0,11.0,1.12,186.0,3.6
191113139,M0155+3622,10,28.393161,35.768645,36.1,30.6,11.2,1.18,282.0,4.2
191113139,M0155+3622,12,29.555844,35.768645,38.2,33.7,11.2,1.13,199.0,3.7
191113139,M0155+3622,13,30.137185,35.768645,39.0,34.2,11.4,1.14,213.0,3.9
191113139,M0155+3622,14,30.718526,35.768645,49.5,43.5,11.5,1.14,209.0,4.0
191113139,M0155+3622,16,28.102490,36.173993,36.9,31.1,11.2,1.19,318.0,4.3
191113139,M0155+3622,23,28.393161,36.579341,35.8,30.1,11.3,1.19,326.0,4.2
191113139,M0155+3622,24,28.974502,36.579341,37.2,31.0,11.4,1.2,329.0,4.6
191113139,M0155+3622,25,29.555844,36.579341,38.9,32.0,11.5,1.22,340.0,3.8
191113139,M0155+3622,29,28.683832,36.984689,35.6,31.3,11.6,1.14,207.0,3.6
191113139,M0155+3622,30,29.265173,36.984689,38.0,32.1,11.6,1.18,325.0,5.5
191113139,M0155+3622,31,29.846514,36.984689,39.4,35.8,11.5,1.1,151.0,3.6
191113139,M0155+3622,32,30.427856,36.984689,40.7,37.0,11.4,1.1,123.0,3.4
191113139,M0155+3622,35,28.393161,37.390037,38.3,32.2,11.4,1.19,334.0,4.8
191113139,M0155+3622,36,28.974502,37.390037,40.2,34.0,11.5,1.18,307.0,5.6
191113139,M0155+3622,37,29.555844,37.390037,40.1,34.2,11.4,1.17,286.0,6.0
191113139,M0155+3622,38,30.137185,37.390037,46.0,40.7,11.2,1.13,243.0,5.4
191113139,M0155+3622,39,30.718526,37.390037,50.6,46.4,11.5,1.09,105.0,3.4
191114041,S2216+4340,1,331.992685,42.659686,59.3,54.8,11.0,1.08,147.0,3.6
191114041,S2216+4340,2,332.639807,42.659686,39.3,35.4,11.9,1.11,177.0,3.6
191114041,S2216+4340,3,333.286930,42.659686,35.8,32.6,11.9,1.1,162.0,3.6
191114041,S2216+4340,4,333.934052,42.659686,37.0,32.8,11.7,1.13,219.0,3.6
191114041,S2216+4340,5,334.581175,42.659686,36.2,33.3,12.0,1.09,127.0,3.6
191114041,S2216+4340,6,335.228297,42.659686,38.8,35.5,11.8,1.09,146.0,3.5
191114041,S2216+4340,7,335.875420,42.659686,57.8,54.2,12.9,1.07,94.0,3.4
191114041,S2216+4340,8,332.316246,43.065034,53.9,47.9,12.1,1.12,220.0,4.0
191114041,S2216+4340,10,333.610491,43.065034,35.7,31.1,12.1,1.15,275.0,3.8
191114041,S2216+4340,11,334.257614,43.065034,38.3,34.4,11.7,1.11,188.0,3.7
191114041,S2216+4340,12,334.904736,43.065034,39.4,36.3,11.8,1.09,144.0,3.8
191114041,S2216+4340,13,335.551859,43.065034,37.2,33.6,11.9,1.11,193.0,3.9
191114041,S2216+4340,14,336.198981,43.065034,48.8,44.6,11.8,1.1,176.0,4.0
191114041,S2216+4340,16,333.286930,43.470382,33.3,30.1,12.1,1.11,157.0,3.5
191114041,S2216+4340,17,333.934052,43.470382,39.2,33.6,12.0,1.17,323.0,4.1
191114041,S2216+4340,18,334.581175,43.470382,36.6,32.2,12.2,1.14,223.0,4.1
191114041,S2216+4340,22,332.963369,43.875730,42.0,35.2,11.9,1.19,329.0,4.0
191114041,S2216+4340,23,333.610491,43.875730,35.3,31.5,11.9,1.12,210.0,3.7
191114041,S2216+4340,24,334.257614,43.875730,34.3,30.8,11.9,1.11,157.0,3.5
191114041,S2216+4340,25,334.904736,43.875730,34.6,31.8,11.9,1.09,128.0,3.4
191114041,S2216+4340,26,335.551859,43.875730,37.2,31.5,11.9,1.18,340.0,4.2
191114041,S2216+4340,27,332.639807,44.281078,41.2,35.3,12.0,1.17,348.0,5.8
191114041,S2216+4340,28,333.286930,44.281078,38.8,33.0,12.0,1.17,326.0,4.1
191114041,S2216+4340,29,333.934052,44.281078,33.1,29.9,11.8,1.11,175.0,3.5
191114041,S2216+4340,30,334.581175,44.281078,34.9,31.8,11.9,1.1,161.0,3.6
191114041,S2216+4340,31,335.228297,44.281078,37.2,33.4,11.8,1.11,198.0,3.6
191114041,S2216+4340,32,335.875420,44.281078,39.3,36.4,12.0,1.08,122.0,3.5
191114041,S2216+4340,33,332.316246,44.686426,49.9,46.2,11.7,1.08,140.0,3.6
191114041,S2216+4340,34,332.963369,44.686426,40.4,36.8,11.8,1.1,177.0,3.7
191114041,S2216+4340,35,333.610491,44.686426,37.1,33.3,12.1,1.11,213.0,4.1
191114041,S2216+4340,36,334.257614,44.686426,34.2,31.0,12.0,1.11,178.0,3.6
191114041,S2216+4340,37,334.904736,44.686426,37.7,33.1,12.0,1.14,242.0,3.8
191114041,S2216+4340,38,335.551859,44.686426,44.3,39.0,11.8,1.14,268.0,5.4
191114041,S2216+4340,39,336.198981,44.686426,48.4,44.6,11.9,1.08,114.0,3.5
191115040,M1304+2904,3,195.526367,28.066908,38.8,33.6,11.1,1.16,205.0,3.7
191115040,M1304+2904,4,196.061940,28.066908,40.0,33.0,11.1,1.21,269.0,3.8
191115040,M1304+2904,5,196.597513,28.066908,44.7,36.9,11.1,1.21,298.0,3.9
191115040,M1304+2904,6,197.133086,28.066908,41.7,37.6,11.0,1.11,135.0,3.5
191115040,M1304+2904,8,194.723007,28.472256,55.8,48.7,11.2,1.15,202.0,3.8
191115040,M1304+2904,10,195.794153,28.472256,38.3,33.0,11.1,1.16,179.0,3.6
191115040,M1304+2904,11,196.329726,28.472256,41.5,36.4,10.9,1.14,174.0,4.3
191115040,M1304+2904,12,196.865299,28.472256,44.4,39.8,11.1,1.12,139.0,3.6
191115040,M1304+2904,13,197.400872,28.472256,38.7,35.1,11.2,1.1,144.0,3.5
191115040,M1304+2904,15,194.990794,28.877604,46.3,41.6,11.2,1.11,139.0,3.6
191115040,M1304+2904,16,195.526367,28.877604,38.1,31.9,11.2,1.19,273.0,4.2
191115040,M1304+2904,17,196.061940,28.877604,39.7,34.9,11.0,1.14,170.0,3.5
191115040,M1304+2904,18,196.597513,28.877604,37.5,31.4,11.2,1.19,275.0,4.0
191115040,M1304+2904,19,197.133086,28.877604,39.2,34.8,11.1,1.13,188.0,3.8
191115040,M1304+2904,22,195.258580,29.282952,39.3,32.5,11.2,1.21,334.0,5.6
191115040,M1304+2904,23,195.794153,29.282952,35.1,30.2,11.2,1.16,235.0,3.9
191115040,M1304+2904,24,196.329726,29.282952,36.0,31.2,11.2,1.15,231.0,3.9
191115040,M1304+2904,26,197.400872,29.282952,38.2,33.7,11.3,1.13,182.0,3.6
191115040,M1304+2904,29,196.061940,29.688300,37.4,32.9,11.1,1.14,175.0,3.6
191115040,M1304+2904,30,196.597513,29.688300,35.0,31.4,11.2,1.12,148.0,3.5
191115040,M1304+2904,31,197.133086,29.688300,38.8,35.3,11.1,1.1,139.0,3.5
191115040,M1304+2904,32,197.668659,29.688300,43.3,39.2,11.3,1.1,137.0,3.6
191115040,M1304+2904,33,194.723007,30.093648,53.9,49.4,11.1,1.09,125.0,3.5
191115040,M1304+2904,35,195.794153,30.093648,40.1,34.8,11.3,1.15,208.0,3.7
191115040,M1304+2904,36,196.329726,30.093648,40.3,34.8,11.4,1.16,226.0,3.8
191115040,M1304+2904,37,196.865299,30.093648,41.2,35.2,11.4,1.17,240.0,3.8
191115040,M1304+2904,38,197.400872,30.093648,48.6,42.5,11.4,1.14,197.0,3.6
191115040,M1304+2904,39,197.936445,30.093648,58.7,51.9,11.4,1.13,192.0,3.7
191115041,M0155+3622,3,28.102490,35.363297,37.3,33.0,11.2,1.13,207.0,3.9
191115041,M0155+3622,5,29.265173,35.363297,37.7,32.3,11.2,1.17,284.0,4.1
191115041,M0155+3622,6,29.846514,35.363297,40.8,36.3,11.1,1.13,184.0,3.7
191115041,M0155+3622,7,30.427856,35.363297,57.9,53.6,11.7,1.08,116.0,3.5
191115041,M0155+3622,9,27.811820,35.768645,42.0,34.8,11.2,1.21,347.0,4.1
191115041,M0155+3622,10,28.393161,35.768645,35.5,30.6,11.1,1.16,281.0,4.0
191115041,M0155+3622,12,29.555844,35.768645,39.4,34.2,11.0,1.15,235.0,3.8
191115041,M0155+3622,13,30.137185,35.768645,40.3,35.3,11.1,1.14,227.0,4.0
191115041,M0155+3622,14,30.718526,35.768645,52.1,45.2,11.2,1.15,242.0,4.0
191115041,M0155+3622,16,28.102490,36.173993,37.3,32.0,11.3,1.16,279.0,4.3
191115041,M0155+3622,19,29.846514,36.173993,38.9,34.4,11.2,1.13,210.0,3.7
191115041,M0155+3622,23,28.393161,36.579341,36.5,30.8,11.1,1.19,315.0,4.0
191115041,M0155+3622,24,28.974502,36.579341,37.4,31.7,11.1,1.18,304.0,4.4
191115041,M0155+3622,26,30.137185,36.579341,37.3,33.2,11.2,1.12,180.0,3.5
191115041,M0155+3622,29,28.683832,36.984689,36.6,32.5,11.1,1.13,197.0,3.7
191115041,M0155+3622,30,29.265173,36.984689,39.3,32.3,11.2,1.22,363.0,5.6
191115041,M0155+3622,31,29.846514,36.984689,39.3,35.5,11.0,1.11,174.0,3.6
191115041,M0155+3622,32,30.427856,36.984689,41.5,37.3,11.3,1.11,150.0,3.5
191115041,M0155+3622,35,28.393161,37.390037,39.1,32.4,11.2,1.21,356.0,4.4
191115041,M0155+3622,36,28.974502,37.390037,37.7,32.9,11.2,1.15,235.0,4.1
191115041,M0155+3622,37,29.555844,37.390037,39.4,32.5,11.1,1.21,380.0,4.2
