ObsID,Name,Beam,RA,Dec,sigma_in,sigma_out,bmin,R,Ex-2,Neg10
190810041,S2253+3130,28,342.734551,32.120522,39.1,33.7,11.6,1.16,241.0,3.8
190810041,S2253+3130,31,344.381627,32.120522,41.2,33.9,11.5,1.21,326.0,4.9
190810041,S2253+3130,35,343.009064,32.525870,40.4,34.4,11.7,1.18,267.0,4.0
190810041,S2253+3130,38,344.656140,32.525870,48.2,39.9,11.5,1.21,301.0,3.9
190811041,S1409+5058,3,211.458427,49.955797,37.5,32.6,12.7,1.15,272.0,3.8
190811041,S1409+5058,6,213.688202,49.955797,55.4,47.4,12.3,1.17,319.0,4.0
190811041,S1409+5058,10,211.830056,50.361145,37.7,31.7,12.7,1.19,368.0,4.1
190811041,S1409+5058,16,211.458427,50.766493,37.5,32.7,12.8,1.15,267.0,3.8
190822046,S1025+5550,0,156.350000,55.833333,34.8,29.6,12.3,1.18,388.0,4.0
190822046,S1025+5550,3,155.308207,54.819963,34.5,31.1,12.3,1.11,207.0,3.7
190822046,S1025+5550,4,156.141641,54.819963,34.4,30.7,12.4,1.12,252.0,4.0
190822046,S1025+5550,5,156.975076,54.819963,38.2,32.1,12.3,1.19,386.0,4.0
190822046,S1025+5550,6,157.808510,54.819963,47.4,41.4,12.4,1.15,299.0,4.0
190822046,S1025+5550,8,154.058056,55.225311,38.6,35.6,12.3,1.08,185.0,3.6
190822046,S1025+5550,9,154.891490,55.225311,34.1,30.8,12.2,1.11,213.0,3.7
190822046,S1025+5550,10,155.724924,55.225311,32.8,29.0,12.4,1.13,280.0,3.8
190822046,S1025+5550,15,154.474773,55.630659,39.6,34.8,12.4,1.14,285.0,3.9
190822046,S1025+5550,16,155.308207,55.630659,32.3,28.3,12.5,1.14,292.0,3.8
190822046,S1025+5550,17,156.141641,55.630659,31.2,27.2,12.4,1.15,309.0,3.8
190822046,S1025+5550,18,156.975076,55.630659,37.0,32.0,12.4,1.16,371.0,5.6
190822046,S1025+5550,22,154.891490,56.036007,35.2,30.5,12.6,1.15,319.0,4.0
190822046,S1025+5550,23,155.724924,56.036007,31.4,27.5,12.6,1.14,280.0,3.8
190822046,S1025+5550,24,156.558359,56.036007,31.6,28.3,12.4,1.12,258.0,3.8
190822046,S1025+5550,29,156.141641,56.441355,30.6,27.2,12.6,1.12,225.0,3.6
190822046,S1025+5550,30,156.975076,56.441355,30.5,27.9,12.6,1.09,196.0,3.6
190822046,S1025+5550,36,156.558359,56.846703,35.3,30.6,12.6,1.15,344.0,4.0
190822047,S2204+3848,0,331.012500,38.808889,38.4,33.5,11.6,1.14,237.0,3.8
190822047,S2204+3848,3,330.261675,37.795519,41.4,35.6,11.7,1.16,273.0,4.2
190822047,S2204+3848,4,330.862335,37.795519,39.7,36.0,11.7,1.1,159.0,3.6
190822047,S2204+3848,10,330.562005,38.200867,38.9,33.5,11.8,1.16,277.0,4.4
190822047,S2204+3848,11,331.162665,38.200867,38.9,33.5,11.7,1.16,264.0,4.6
190822047,S2204+3848,15,329.661016,38.606215,47.8,40.3,11.7,1.19,317.0,3.9
190822047,S2204+3848,17,330.862335,38.606215,41.0,33.7,11.7,1.21,373.0,4.8
190822047,S2204+3848,22,329.961346,39.011563,39.6,33.9,12.0,1.17,319.0,5.1
190822047,S2204+3848,23,330.562005,39.011563,39.4,33.0,12.1,1.19,350.0,4.1
190822047,S2204+3848,24,331.162665,39.011563,39.7,34.8,11.7,1.14,238.0,4.0
190822047,S2204+3848,28,330.261675,39.416911,41.3,34.8,11.8,1.19,367.0,4.3
190822047,S2204+3848,33,329.360686,39.822259,54.1,46.0,11.9,1.18,352.0,6.9
190822047,S2204+3848,34,329.961346,39.822259,48.3,40.3,11.8,1.2,381.0,6.0
190822047,S2204+3848,35,330.562005,39.822259,42.9,38.0,11.8,1.13,245.0,4.6
190822047,S2204+3848,37,331.763325,39.822259,48.6,40.9,12.1,1.19,335.0,4.1
190822047,S2204+3848,38,332.363984,39.822259,48.2,42.7,12.1,1.13,217.0,3.7
190823041,S1258+6041,1,191.575188,59.684130,56.6,50.2,12.1,1.13,255.0,3.8
190823041,S1258+6041,2,192.531540,59.684130,42.6,38.2,12.0,1.11,235.0,3.8
190823041,S1258+6041,3,193.487892,59.684130,35.4,32.1,12.3,1.1,197.0,3.7
190823041,S1258+6041,4,194.444245,59.684130,36.0,32.6,12.3,1.1,220.0,3.9
190823041,S1258+6041,5,195.400597,59.684130,35.8,32.6,12.6,1.1,197.0,3.6
190823041,S1258+6041,6,196.356950,59.684130,48.2,41.6,12.3,1.16,371.0,4.8
190823041,S1258+6041,8,192.053364,60.089478,45.4,42.1,11.9,1.08,151.0,3.7
190823041,S1258+6041,9,193.009716,60.089478,40.0,34.6,12.0,1.16,361.0,4.3
190823041,S1258+6041,10,193.966069,60.089478,34.7,31.6,12.3,1.1,187.0,3.5
190823041,S1258+6041,11,194.922421,60.089478,35.6,32.5,12.4,1.1,186.0,3.5
190823041,S1258+6041,18,195.400597,60.494826,41.9,36.4,12.4,1.15,333.0,4.7
190823041,S1258+6041,19,196.356950,60.494826,44.4,37.8,12.4,1.17,391.0,4.1
190823041,S1258+6041,20,197.313302,60.494826,47.5,40.6,12.5,1.17,376.0,4.4
190823041,S1258+6041,21,192.053364,60.900174,54.3,46.2,12.6,1.17,382.0,4.8
190823041,S1258+6041,23,193.966069,60.900174,35.6,30.1,12.7,1.18,400.0,5.5
190823041,S1258+6041,24,194.922421,60.900174,37.6,32.5,12.3,1.16,326.0,3.8
190823041,S1258+6041,25,195.878774,60.900174,41.6,35.8,12.5,1.16,333.0,3.8
190823041,S1258+6041,26,196.835126,60.900174,42.2,37.8,12.2,1.12,227.0,3.7
190823041,S1258+6041,27,192.531540,61.305522,43.2,36.9,12.0,1.17,370.0,4.6
190823041,S1258+6041,28,193.487892,61.305522,39.0,32.4,12.1,1.2,447.0,4.2
190823041,S1258+6041,31,196.356950,61.305522,36.0,32.8,12.5,1.09,172.0,3.5
190823041,S1258+6041,33,192.053364,61.710870,47.9,43.7,12.0,1.1,164.0,3.6
190823041,S1258+6041,34,193.009716,61.710870,43.0,36.8,12.4,1.17,363.0,5.5
190823042,M0155+3130,3,28.142885,30.499130,51.8,47.7,11.0,1.09,106.0,3.4
190823042,M0155+3130,5,29.240936,30.499130,56.3,50.3,11.0,1.12,184.0,3.9
190823042,M0155+3130,10,28.417398,30.904478,53.1,46.9,11.1,1.13,190.0,3.8
190823042,M0155+3130,11,28.966423,30.904478,60.0,50.6,11.1,1.19,275.0,3.9
190823042,M0155+3130,16,28.142885,31.309826,53.6,44.9,11.2,1.19,318.0,5.1
190823042,M0155+3130,22,27.868373,31.715174,57.0,50.4,11.2,1.13,198.0,3.7
190823042,M0155+3130,23,28.417398,31.715174,48.4,42.9,11.2,1.13,175.0,3.8
190823042,M0155+3130,27,27.593860,32.120522,58.9,52.2,11.2,1.13,193.0,4.0
190823042,M0155+3130,28,28.142885,32.120522,50.6,44.9,11.2,1.13,173.0,3.5
190823042,M0155+3130,29,28.691911,32.120522,51.9,46.2,11.2,1.12,179.0,3.7
190823042,M0155+3130,31,29.789961,32.120522,57.6,49.4,11.1,1.17,247.0,3.9
190823042,M0155+3130,34,27.868373,32.525870,56.8,51.1,11.2,1.11,175.0,4.0
190824041,S2154+4606,3,327.881151,45.091630,57.2,53.5,12.1,1.07,127.0,3.7
190824041,S2154+4606,10,328.218691,45.496978,58.2,49.9,12.2,1.17,350.0,5.1
190824041,S2154+4606,16,327.881151,45.902326,53.9,47.3,12.2,1.14,251.0,4.1
190824041,S2154+4606,17,328.556230,45.902326,56.1,48.3,12.2,1.16,320.0,4.3
190824041,S2154+4606,22,327.543612,46.307674,59.9,52.6,12.2,1.14,262.0,4.0
190824041,S2154+4606,23,328.218691,46.307674,52.7,47.5,12.2,1.11,215.0,4.0
190824041,S2154+4606,28,327.881151,46.713022,54.4,47.4,12.3,1.15,318.0,4.2
190824041,S2154+4606,30,329.231309,46.713022,55.8,49.3,12.3,1.13,248.0,3.7
190906044,S1025+5550,0,156.350000,55.833333,33.4,29.4,12.1,1.13,287.0,3.8
190906044,S1025+5550,1,153.641338,54.819963,50.5,43.5,12.5,1.16,341.0,4.7
190906044,S1025+5550,2,154.474773,54.819963,37.1,32.5,12.4,1.14,310.0,4.6
190906044,S1025+5550,4,156.141641,54.819963,35.2,30.8,12.5,1.14,297.0,4.3
190906044,S1025+5550,5,156.975076,54.819963,34.5,30.3,12.3,1.14,302.0,4.1
190906044,S1025+5550,6,157.808510,54.819963,45.7,40.9,12.4,1.12,216.0,3.7
190906044,S1025+5550,8,154.058056,55.225311,41.6,37.8,12.6,1.1,198.0,3.5
190906044,S1025+5550,9,154.891490,55.225311,35.9,32.0,12.4,1.12,235.0,3.8
190906044,S1025+5550,10,155.724924,55.225311,30.1,27.3,12.2,1.1,201.0,3.7
190906044,S1025+5550,11,156.558359,55.225311,33.1,28.4,12.3,1.17,386.0,4.3
