ObsID,Name,Beam,RA,Dec,cube2_qual,cube1_qual,cube0_qual,sigma_c2,sigma_c1,sigma_c0,f_ex_c2,f_ex_c1,f_ex_c0,p_0.8_c2,p_0.8_c1,p_0.8_c0
190809042,M0155+3130,28,28.142885,32.120522,G,G,G,1.54,1.53,1.57,-6.00,-5.62,-5.96,4.27,4.27,4.22
190809042,M0155+3130,34,27.868373,32.525870,G,G,G,1.67,1.71,1.72,-5.97,-5.78,-5.97,4.23,4.23,4.24
190809042,M0155+3130,38,30.064474,32.525870,G,O,G,1.75,1.86,1.89,-5.79,-5.77,-4.60,4.30,4.34,4.71
190810041,S2253+3130,2,342.185526,30.499130,G,G,G,1.81,1.86,1.93,-5.93,-5.94,-5.85,4.24,4.27,4.23
190810041,S2253+3130,3,342.734551,30.499130,G,G,G,1.58,1.64,1.69,-5.92,-6.04,-5.95,4.25,4.28,4.23
190810041,S2253+3130,4,343.283577,30.499130,G,G,G,1.56,1.61,1.66,-5.87,-5.92,-5.88,4.26,4.26,4.27
190810041,S2253+3130,8,341.911013,30.904478,G,G,G,1.98,2.02,2.04,-5.96,-5.95,-5.85,4.24,4.26,4.31
190810041,S2253+3130,9,342.460039,30.904478,G,G,G,1.64,1.69,1.75,-6.06,-5.94,-5.91,4.23,4.26,4.27
190810041,S2253+3130,10,343.009064,30.904478,B,B,B,1.50,1.54,1.60,-4.34,-4.28,-4.29,4.33,4.35,4.32
190810041,S2253+3130,16,342.734551,31.309826,B,B,B,1.52,1.59,1.66,-4.27,-4.17,-4.22,4.28,4.28,4.28
190810041,S2253+3130,20,344.930653,31.309826,G,G,G,1.87,1.95,2.03,-5.93,-5.97,-5.87,4.29,4.26,4.28
190810041,S2253+3130,23,343.009064,31.715174,G,G,G,1.43,1.48,1.55,-5.83,-6.04,-5.89,4.24,4.23,4.25
190810041,S2253+3130,27,342.185526,32.120522,G,G,G,1.92,1.99,1.97,-6.10,-6.07,-5.94,4.19,4.21,4.18
190810041,S2253+3130,28,342.734551,32.120522,G,G,G,1.55,1.55,1.60,-5.93,-5.68,-5.98,4.30,4.27,4.27
190810041,S2253+3130,31,344.381627,32.120522,B,B,B,1.62,1.67,1.74,-3.74,-3.68,-3.71,4.30,4.32,4.29
190810041,S2253+3130,35,343.009064,32.525870,G,G,G,1.54,1.57,1.62,-5.86,-5.87,-5.82,4.30,4.29,4.26
190810041,S2253+3130,38,344.656140,32.525870,G,O,G,1.78,1.88,1.89,-5.77,-5.80,-4.57,4.30,4.30,4.70
190811041,S1409+5058,3,211.458427,49.955797,G,G,G,1.48,1.53,1.59,-5.91,-5.91,-5.96,4.26,4.26,4.21
190811041,S1409+5058,6,213.688202,49.955797,G,G,G,2.00,2.10,2.17,-5.95,-6.00,-6.02,4.23,4.24,4.26
190811041,S1409+5058,10,211.830056,50.361145,G,G,G,1.38,1.43,1.49,-6.06,-5.97,-5.95,4.27,4.23,4.30
190811041,S1409+5058,16,211.458427,50.766493,G,G,G,1.45,1.50,1.56,-5.90,-6.05,-5.96,4.29,4.25,4.26
190822046,S1025+5550,0,156.350000,55.833333,G,O,G,1.29,1.43,1.38,-5.89,-5.98,-5.28,4.25,4.22,4.49
190822046,S1025+5550,3,155.308207,54.819963,G,G,G,1.36,1.43,1.59,-5.85,-5.41,-5.48,4.24,4.32,4.32
190822046,S1025+5550,4,156.141641,54.819963,G,G,G,1.35,1.45,1.46,-5.32,-5.98,-5.39,4.28,4.22,4.40
190822046,S1025+5550,5,156.975076,54.819963,B,B,B,1.43,1.52,1.54,-4.09,-4.10,-4.09,4.29,4.24,4.33
190822046,S1025+5550,6,157.808510,54.819963,G,G,G,1.82,1.96,1.96,-5.86,-5.91,-5.36,4.27,4.26,4.39
190822046,S1025+5550,8,154.058056,55.225311,G,G,G,1.62,1.70,1.72,-6.01,-6.05,-5.90,4.25,4.21,4.29
190822046,S1025+5550,9,154.891490,55.225311,G,G,G,1.39,1.47,1.45,-5.92,-6.03,-5.75,4.25,4.20,4.28
190822046,S1025+5550,10,155.724924,55.225311,G,G,G,1.29,1.40,1.41,-5.85,-5.32,-5.46,4.24,4.38,4.38
190822046,S1025+5550,15,154.474773,55.630659,B,B,B,1.76,1.72,1.65,-3.88,-3.76,-3.81,4.29,4.25,4.30
190822046,S1025+5550,16,155.308207,55.630659,G,O,G,1.27,1.36,1.37,-5.40,-5.40,-5.29,4.28,4.29,4.30
190822046,S1025+5550,17,156.141641,55.630659,G,G,G,1.26,1.34,1.33,-5.62,-5.72,-5.58,4.30,4.29,4.34
190822046,S1025+5550,18,156.975076,55.630659,O,O,O,1.46,1.51,1.48,-4.83,-4.68,-4.75,4.25,4.26,4.31
190822046,S1025+5550,22,154.891490,56.036007,G,G,G,1.42,1.46,1.41,-6.04,-5.89,-5.78,4.23,4.24,4.26
190822046,S1025+5550,23,155.724924,56.036007,G,G,G,1.24,1.32,1.34,-5.90,-5.85,-5.71,4.30,4.31,4.34
190822046,S1025+5550,24,156.558359,56.036007,G,G,G,1.29,1.36,1.38,-5.99,-6.02,-5.85,4.26,4.27,4.27
190822046,S1025+5550,29,156.141641,56.441355,G,G,G,1.22,1.29,1.29,-5.88,-5.84,-5.39,4.28,4.28,4.37
190822046,S1025+5550,30,156.975076,56.441355,G,G,G,1.26,1.32,1.35,-5.98,-6.16,-5.75,4.25,4.24,4.29
190822046,S1025+5550,36,156.558359,56.846703,G,G,G,1.38,1.43,1.46,-5.96,-6.00,-5.89,4.25,4.22,4.26
190822047,S2204+3848,0,331.012500,38.808889,B,B,G,1.55,1.69,1.47,-3.97,-5.93,-3.96,5.47,4.23,5.50
190822047,S2204+3848,3,330.261675,37.795519,B,B,G,1.58,1.72,1.49,-3.94,-5.95,-3.94,5.51,4.23,5.49
190822047,S2204+3848,4,330.862335,37.795519,B,B,G,1.57,1.75,1.49,-3.61,-5.92,-3.97,5.45,4.25,5.54
190822047,S2204+3848,10,330.562005,38.200867,B,B,B,1.51,1.60,1.40,-3.58,-3.73,-3.60,5.46,4.21,5.28
190822047,S2204+3848,11,331.162665,38.200867,B,B,B,1.49,1.65,1.41,-3.69,-3.89,-3.64,5.40,4.20,5.47
190822047,S2204+3848,15,329.661016,38.606215,B,B,G,1.90,1.92,1.60,-4.08,-5.95,-3.92,5.38,4.24,5.56
190822047,S2204+3848,17,330.862335,38.606215,B,B,B,1.60,1.74,1.52,-3.46,-3.65,-3.45,5.27,4.23,5.38
190822047,S2204+3848,22,329.961346,39.011563,B,B,G,1.54,1.67,1.46,-4.02,-5.97,-4.10,5.44,4.26,5.33
190822047,S2204+3848,23,330.562005,39.011563,B,B,G,1.44,1.58,1.41,-4.25,-6.02,-4.21,5.16,4.22,5.22
190822047,S2204+3848,24,331.162665,39.011563,B,B,G,1.57,1.72,1.52,-4.10,-5.92,-4.11,5.34,4.24,5.31
190822047,S2204+3848,28,330.261675,39.416911,B,B,G,1.62,1.67,1.45,-4.15,-6.08,-4.09,5.32,4.24,5.37
190822047,S2204+3848,33,329.360686,39.822259,B,B,G,2.08,2.22,1.90,-4.00,-5.83,-3.98,5.47,4.24,5.44
190822047,S2204+3848,34,329.961346,39.822259,B,B,G,1.79,2.06,1.65,-4.03,-5.70,-3.76,5.46,4.22,5.67
190822047,S2204+3848,35,330.562005,39.822259,B,B,O,1.64,2.72,1.55,-4.03,-5.29,-2.47,5.36,4.26,3.86
190822047,S2204+3848,37,331.763325,39.822259,B,B,B,1.76,1.90,1.66,-3.82,-4.25,-3.87,5.51,4.28,5.41
190822047,S2204+3848,38,332.363984,39.822259,B,B,G,1.85,1.99,1.75,-4.08,-5.94,-4.17,5.39,4.23,5.30
190823041,S1258+6041,1,191.575188,59.684130,G,G,G,2.15,2.23,2.30,-5.90,-5.91,-5.60,4.26,4.28,4.32
190823041,S1258+6041,2,192.531540,59.684130,G,G,G,1.70,1.76,1.83,-5.86,-5.81,-5.78,4.25,4.27,4.26
190823041,S1258+6041,3,193.487892,59.684130,O,O,O,1.51,1.56,1.62,-4.59,-4.56,-4.57,4.23,4.29,4.29
190823041,S1258+6041,4,194.444245,59.684130,G,G,G,1.51,1.56,1.61,-5.53,-6.05,-6.01,4.25,4.23,4.24
190823041,S1258+6041,5,195.400597,59.684130,G,G,G,1.52,1.57,1.62,-5.91,-5.95,-5.90,4.24,4.25,4.24
190823041,S1258+6041,6,196.356950,59.684130,B,B,O,1.94,2.02,2.08,-4.10,-4.62,-4.32,4.28,4.29,4.31
190823041,S1258+6041,8,192.053364,60.089478,G,G,G,1.99,2.03,2.02,-5.86,-5.91,-5.93,4.32,4.25,4.26
190823041,S1258+6041,9,193.009716,60.089478,G,G,G,1.65,1.68,1.70,-5.91,-5.99,-5.88,4.26,4.22,4.23
190823041,S1258+6041,10,193.966069,60.089478,G,G,G,1.47,1.52,1.54,-5.89,-5.94,-6.08,4.18,4.21,4.15
190823041,S1258+6041,11,194.922421,60.089478,G,G,G,1.49,1.53,1.58,-5.94,-6.04,-6.13,4.24,4.22,4.22
190823041,S1258+6041,18,195.400597,60.494826,G,G,G,1.77,1.76,1.74,-6.00,-6.00,-5.95,4.23,4.28,4.27
190823041,S1258+6041,19,196.356950,60.494826,G,G,G,1.71,1.78,1.83,-5.96,-5.88,-5.91,4.26,4.29,4.26
190823041,S1258+6041,20,197.313302,60.494826,G,G,G,1.84,1.91,2.00,-6.04,-5.94,-5.92,4.25,4.24,4.23
190823041,S1258+6041,21,192.053364,60.900174,G,G,G,2.34,2.13,2.02,-6.00,-6.31,-6.01,4.24,4.17,4.25
190823041,S1258+6041,23,193.966069,60.900174,B,B,B,1.57,1.60,1.63,-3.73,-3.75,-3.75,4.33,4.31,4.34
190823041,S1258+6041,24,194.922421,60.900174,G,G,G,1.52,1.59,1.64,-6.01,-6.00,-6.03,4.24,4.27,4.23
190823041,S1258+6041,25,195.878774,60.900174,G,G,G,1.64,1.67,1.70,-6.02,-5.90,-5.94,4.20,4.26,4.24
190823041,S1258+6041,26,196.835126,60.900174,G,G,G,1.67,1.77,1.84,-5.90,-6.00,-5.78,4.24,4.29,4.27
190823041,S1258+6041,27,192.531540,61.305522,G,G,G,1.78,1.76,1.74,-5.96,-5.79,-5.55,4.25,4.25,4.29
190823041,S1258+6041,28,193.487892,61.305522,G,G,G,1.52,1.52,1.57,-5.89,-5.96,-5.92,4.24,4.21,4.25
190823041,S1258+6041,31,196.356950,61.305522,G,B,G,1.51,2.15,1.62,-5.91,-5.87,-2.49,4.23,4.23,7.92
190823041,S1258+6041,33,192.053364,61.710870,G,G,G,2.08,2.05,2.09,-5.90,-6.05,-5.95,4.24,4.28,4.25
190823041,S1258+6041,34,193.009716,61.710870,G,G,G,1.61,1.66,1.69,-5.94,-5.95,-5.95,4.21,4.21,4.24
190823042,M0155+3130,3,28.142885,30.499130,B,B,G,1.98,2.56,1.96,-3.52,-5.62,-2.84,6.05,4.42,5.83
