ObsID,Name,Beam,RA,Dec,V valid,QU valid,sigma_in,sigma_out,FT_max,peak_inner,bmin,Q_beam_frac,U_beam_frac,Q_noise_frac,U_noise_frac
190712041,M1403+5324,2,209.083609,52.388019,True,True,35.6,35.1,3.8,425.6,12.8,0.08,0.08,0.08,0.08
190712041,M1403+5324,3,209.868672,52.388019,True,True,29.3,29.0,2.5,768.1,12.5,0.08,0.08,0.08,0.08
190712041,M1403+5324,4,210.653734,52.388019,False,False,88.4,53.2,6.1,3554.5,11.5,0.08,0.08,0.12,0.67
190712041,M1403+5324,5,211.438797,52.388019,True,False,54.4,44.5,3.3,756.6,12.5,0.08,0.08,0.92,0.08
190712041,M1403+5324,6,212.223859,52.388019,None,False,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0
190712041,M1403+5324,7,213.008922,52.388019,None,False,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0
190712041,M1403+5324,8,208.691078,52.793367,True,True,42.2,42.4,3.6,228.5,12.6,0.08,0.08,0.08,0.08
190712041,M1403+5324,9,209.476141,52.793367,True,True,30.0,29.5,4.1,306.0,12.5,0.08,0.08,0.08,0.08
190712041,M1403+5324,10,210.261203,52.793367,True,True,29.6,28.0,3.2,338.0,12.5,0.08,0.08,0.25,0.08
190712041,M1403+5324,11,211.046266,52.793367,True,False,55.3,53.8,12.9,766.2,13.1,0.42,0.42,0.88,0.12
190712041,M1403+5324,12,211.831328,52.793367,False,False,66.6,56.6,6.0,2413.4,12.3,0.08,0.08,1.0,0.29
190712041,M1403+5324,13,212.616391,52.793367,None,False,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0
190712041,M1403+5324,14,213.401453,52.793367,False,False,125.0,89.3,9.7,3030.6,12.2,0.08,0.08,1.0,1.0
190712041,M1403+5324,15,209.083609,53.198715,True,True,34.0,33.2,4.2,483.7,12.5,0.08,0.08,0.08,0.08
190712041,M1403+5324,16,209.868672,53.198715,True,True,37.9,29.2,3.8,2490.6,12.5,0.08,0.08,0.12,0.08
190712041,M1403+5324,17,210.653734,53.198715,True,True,35.2,31.3,3.6,774.8,12.3,0.08,0.08,0.25,0.08
190712041,M1403+5324,18,211.438797,53.198715,True,False,44.9,46.8,7.2,865.6,13.5,0.88,0.88,1.0,0.08
190712041,M1403+5324,19,212.223859,53.198715,True,False,45.0,54.2,2.9,387.3,12.5,0.08,0.08,1.0,0.29
190712041,M1403+5324,20,213.008922,53.198715,False,False,78.5,63.1,5.2,761.8,12.5,0.08,0.08,1.0,0.67
190712041,M1403+5324,21,208.691078,53.604063,True,True,37.2,36.7,3.5,568.7,12.5,0.08,0.08,0.12,0.08
190712041,M1403+5324,22,209.476141,53.604063,True,False,37.1,31.6,3.0,1640.8,12.5,0.08,0.08,0.5,0.08
190712041,M1403+5324,23,210.261203,53.604063,True,False,33.5,31.7,2.5,783.0,12.5,0.08,0.08,1.0,0.08
190712041,M1403+5324,24,211.046266,53.604063,True,True,30.6,29.9,3.2,377.9,12.3,0.08,0.08,0.08,0.08
190712041,M1403+5324,25,211.831328,53.604063,True,True,30.9,34.1,3.4,290.0,12.6,0.08,0.08,0.08,0.08
190712041,M1403+5324,26,212.616391,53.604063,True,True,32.6,33.4,3.3,597.6,12.5,0.08,0.08,0.08,0.08
190712041,M1403+5324,27,209.083609,54.009411,True,True,32.4,31.5,3.0,782.0,12.6,0.08,0.08,0.08,0.08
190712041,M1403+5324,28,209.868672,54.009411,True,False,33.2,28.5,2.7,1192.2,12.6,0.08,0.08,0.5,0.08
190712041,M1403+5324,29,210.653734,54.009411,True,True,34.5,33.9,5.4,535.7,10.8,0.08,0.08,0.08,0.08
190712041,M1403+5324,30,211.438797,54.009411,True,True,35.2,34.9,4.0,300.4,12.6,0.08,0.08,0.08,0.08
190712041,M1403+5324,31,212.223859,54.009411,True,True,28.5,28.6,3.5,228.1,12.6,0.08,0.08,0.08,0.08
190712041,M1403+5324,32,213.008922,54.009411,True,True,51.8,50.3,4.8,988.2,12.5,0.08,0.08,0.12,0.08
190712041,M1403+5324,33,208.691078,54.414759,True,True,59.4,58.9,6.5,295.7,12.7,0.08,0.08,0.25,0.25
190712041,M1403+5324,34,209.476141,54.414759,True,True,36.2,35.2,3.4,375.9,12.3,0.08,0.08,0.12,0.12
190712041,M1403+5324,35,210.261203,54.414759,True,True,30.8,30.3,2.7,990.3,12.6,0.08,0.08,0.08,0.08
190712041,M1403+5324,36,211.046266,54.414759,True,True,30.9,30.8,3.9,285.4,12.5,0.08,0.08,0.08,0.08
190712041,M1403+5324,37,211.831328,54.414759,True,False,42.9,42.2,18.3,797.0,12.4,0.08,0.08,0.71,0.08
190712041,M1403+5324,38,212.616391,54.414759,False,False,59.4,58.7,32.0,432.5,13.0,0.38,0.38,0.71,0.12
190712041,M1403+5324,39,213.401453,54.414759,False,False,68.7,66.9,7.4,1568.2,13.2,0.58,0.58,0.92,0.17
190713001,M0155+3130,0,28.829167,31.512500,True,False,33.3,32.2,3.7,299.3,11.5,1.0,1.0,1.0,1.0
190713001,M0155+3130,1,27.044835,30.499130,True,False,42.2,42.0,5.8,416.6,11.4,1.0,1.0,1.0,1.0
190713001,M0155+3130,2,27.593860,30.499130,True,False,36.7,35.8,6.7,357.9,11.4,1.0,1.0,1.0,1.0
190713001,M0155+3130,3,28.142885,30.499130,True,False,29.4,29.4,4.9,136.9,11.5,1.0,1.0,1.0,1.0
190713001,M0155+3130,4,28.691911,30.499130,False,False,89.8,50.7,7.0,3289.8,11.4,1.0,1.0,1.0,1.0
190713001,M0155+3130,5,29.240936,30.499130,True,False,32.6,31.0,3.9,1230.2,11.4,1.0,1.0,1.0,1.0
190713001,M0155+3130,6,29.789961,30.499130,True,False,39.6,39.3,8.2,172.6,11.4,1.0,1.0,1.0,1.0
190713001,M0155+3130,7,30.338987,30.499130,False,False,64.2,60.8,9.7,429.2,11.4,1.0,1.0,1.0,1.0
190713001,M0155+3130,8,27.319347,30.904478,True,False,45.5,45.8,8.1,219.6,11.5,1.0,1.0,1.0,1.0
190713001,M0155+3130,9,27.868373,30.904478,True,False,30.3,30.2,4.2,248.1,11.5,1.0,1.0,1.0,1.0
